weekday;day;month;year;time;EA+ GERAL 1 BVTP1 (KWh);EA+ QGD 1 ALF2A1 (KWh);EA+ GERAL 2 BVTP1 (KWh);EA+ QGD 2 ALF1P0 (KWh);EA+ QGD 1 ALF1P0 (KWh);EA+ Geral ALF2A7+A8 (KWh);EA+ GERAL 1 RAN (KWh);EA+ BVTP0 (KWh);EA+ GERAL 2 RAN (KWh);EA+ GERAL CMB (KWh);EA+ GERAL PDG (KWh);EA+ GERAL FAR (KWh);EA+ GERAL 1 SNT (KWh);EA+ QGD 2 ALF1P-1 (KWh);EA+ GERAL MAT (KWh);EA+ Q.INV1 FNC (KWh);EA+ GERAL AVR (KWh);EA+ QGD 1 ALF1P-1 (KWh);EA+ GERAL PTM (KWh);EA+ GERAL 2 SNT (KWh);EA+ GERAL FMC (KWh)
Mon;26;9;2016;21:00;39.84;23.68;1.65;25.5;12.0;128.69;21.0;86.87;31.0;22.0;5.48;16.0;19.23;38.0;63.0;9.68;37.4;38.0;7.0;27.6;25.0
Mon;26;9;2016;21:15;40.84;25.61;1.65;25.5;13.0;127.47;20.0;90.99;32.0;22.0;5.49;16.0;16.58;40.0;62.0;9.46;31.07;41.0;8.0;27.45;26.0
Mon;26;9;2016;21:30;43.03;24.13;1.64;25.5;12.0;124.51;17.0;91.11;32.0;22.0;5.5;16.0;17.3;39.0;62.0;8.31;30.4;41.0;8.0;27.55;26.0
Mon;26;9;2016;21:45;39.72;24.52;1.65;25.5;12.0;124.52;20.0;88.91;31.0;20.0;5.51;16.0;19.41;40.0;62.0;9.42;32.17;40.0;8.0;27.37;27.0
Mon;26;9;2016;22:00;41.56;26.11;1.65;25.5;12.0;129.87;18.0;87.2;31.0;21.0;5.52;14.5;16.81;38.0;63.0;9.62;37.07;39.0;8.0;27.45;29.0
Mon;26;9;2016;22:15;42.31;23.19;1.65;25.5;13.0;129.28;21.0;85.99;32.0;22.0;5.53;13.5;16.52;39.0;62.0;9.36;34.93;38.0;8.0;27.37;28.0
Mon;26;9;2016;22:30;39.79;25.2;1.65;25.5;12.0;126.07;21.0;86.07;32.0;21.0;5.54;14.0;18.99;38.0;62.0;8.57;31.11;40.0;8.0;27.21;28.0
Mon;26;9;2016;22:45;41.44;22.24;1.65;25.5;12.0;125.55;21.0;86.21;30.0;20.0;5.55;13.5;17.5;39.0;62.0;9.15;32.19;41.0;7.0;27.36;27.0
Mon;26;9;2016;23:00;42.42;24.97;1.65;25.5;12.0;127.42;21.0;85.44;32.0;23.0;5.56;14.0;16.48;39.0;62.0;9.61;31.43;41.0;8.0;27.11;25.0
Mon;26;9;2016;23:15;39.72;22.03;1.65;25.5;13.0;127.16;21.0;86.59;32.0;19.0;5.57;13.5;17.85;39.0;62.0;9.31;30.24;42.0;8.0;27.14;26.0
Mon;26;9;2016;23:30;41.67;24.05;1.65;25.5;12.0;128.43;20.0;87.43;30.0;22.0;5.58;14.0;18.4;39.0;62.0;8.28;32.52;40.0;7.0;27.15;26.0
Mon;26;9;2016;23:45;41.66;23.48;1.64;25.5;12.0;125.21;21.0;88.81;32.0;22.0;5.59;14.0;16.63;39.0;62.0;9.77;37.46;42.0;8.0;27.19;27.0
Tue;27;9;2016;00:00;40.19;22.26;1.64;25.5;12.0;123.85;20.0;87.83;31.0;20.0;5.6;13.0;16.97;37.0;62.0;9.17;31.33;41.0;8.0;27.09;27.0
Tue;27;9;2016;00:15;42.36;23.79;1.65;25.5;12.0;127.11;21.0;86.48;31.0;22.0;5.61;14.0;18.86;40.0;62.0;9.48;29.86;40.0;7.0;24.87;23.0
Tue;27;9;2016;00:30;41.14;23.67;1.65;25.5;12.0;129.54;21.0;86.09;31.0;20.0;5.62;14.0;17.09;37.0;62.0;8.76;29.38;39.0;7.0;27.24;24.0
Tue;27;9;2016;00:45;39.56;23.23;1.65;25.2;12.0;128.63;20.0;86.03;31.0;22.0;5.63;14.0;17.11;40.0;62.0;8.92;31.43;42.0;7.0;27.12;23.0
Tue;27;9;2016;01:00;42.89;24.04;1.64;25.3;12.0;123.31;21.0;86.65;31.0;23.0;5.64;16.0;18.12;38.0;61.0;9.77;37.35;41.0;7.0;27.1;24.0
Tue;27;9;2016;01:15;40.89;23.52;1.65;25.7;12.0;123.05;20.0;87.35;32.0;24.0;5.65;16.5;18.56;40.0;62.0;9.13;32.59;41.0;7.0;24.84;23.0
Tue;27;9;2016;01:30;39.77;22.44;1.64;25.3;12.0;124.42;21.0;84.7;31.0;22.0;5.66;16.0;16.62;37.0;62.0;8.91;30.43;42.0;8.0;26.15;24.0
Tue;27;9;2016;01:45;41.88;23.34;1.65;25.5;14.0;128.86;20.0;78.09;31.0;22.0;5.67;16.5;17.38;40.0;62.0;8.78;29.86;41.0;7.0;28.23;23.0
Tue;27;9;2016;02:00;41.45;24.35;1.64;25.5;12.0;127.83;19.0;80.49;32.0;22.0;5.68;15.0;19.04;38.0;62.0;9.74;29.62;40.0;7.0;28.83;24.0
Tue;27;9;2016;02:15;39.37;22.01;1.65;25.5;13.0;124.09;20.0;82.53;31.0;24.0;5.69;17.0;17.54;40.0;62.0;9.1;31.4;41.0;7.0;28.67;23.0
Tue;27;9;2016;02:30;41.82;23.41;1.64;25.2;12.0;124.04;19.0;80.05;31.0;24.0;5.7;15.0;16.86;38.0;62.0;8.99;32.13;39.0;7.0;27.52;21.0
Tue;27;9;2016;02:45;41.09;24.31;1.65;25.3;11.0;124.62;21.0;79.86;31.0;23.0;5.71;14.0;18.05;40.0;62.0;8.79;31.61;41.0;7.0;26.67;22.0
Tue;27;9;2016;03:00;39.83;21.73;1.64;25.5;13.0;128.21;19.0;80.82;31.0;22.0;5.72;13.0;15.17;38.0;62.0;9.75;29.77;42.0;7.0;17.48;22.0
Tue;27;9;2016;03:15;41.69;23.82;1.65;25.5;12.0;127.49;21.0;79.11;31.0;23.0;5.73;14.0;22.15;40.0;61.0;9.09;30.3;42.0;7.0;15.12;21.0
Tue;27;9;2016;03:30;40.4;23.53;1.64;25.5;12.0;126.59;19.0;80.58;32.0;22.0;5.74;14.0;20.87;38.0;59.0;9.18;29.24;41.0;7.0;15.1;22.0
Tue;27;9;2016;03:45;40.06;21.94;1.64;25.0;12.0;123.15;20.0;78.2;31.0;24.0;5.75;14.0;22.78;39.0;62.0;9.14;29.06;41.0;7.0;15.02;21.0
Tue;27;9;2016;04:00;42.77;22.7;1.65;25.5;12.0;124.0;19.0;77.17;31.0;24.0;5.75;13.0;22.7;38.0;62.0;10.45;35.51;40.0;7.0;15.12;22.0
Tue;27;9;2016;04:15;39.83;21.43;1.65;25.2;12.0;127.77;21.0;77.9;31.0;23.0;5.76;14.0;23.33;38.0;61.0;9.41;33.29;39.0;6.0;15.09;22.0
Tue;27;9;2016;04:30;39.73;24.7;1.64;25.5;12.0;128.61;18.0;77.57;31.0;23.0;5.77;14.0;23.91;38.0;62.0;8.29;29.52;42.0;7.0;15.06;21.0
Tue;27;9;2016;04:45;42.51;21.06;1.64;25.3;11.0;125.69;19.0;77.84;30.0;22.0;5.78;13.5;19.65;40.0;62.0;7.74;30.8;40.0;7.0;15.15;22.0
Tue;27;9;2016;05:00;40.35;23.34;1.65;25.2;13.0;125.34;20.0;77.5;30.0;22.0;5.79;13.5;22.49;39.0;60.0;8.26;30.35;42.0;7.0;14.97;21.0
Tue;27;9;2016;05:15;39.79;24.3;1.65;25.3;11.0;127.9;19.0;78.18;31.0;24.0;5.8;14.5;22.58;38.0;61.0;7.86;30.1;42.0;7.0;15.1;22.0
Tue;27;9;2016;05:30;42.1;22.49;1.65;25.5;12.0;121.36;19.0;77.17;31.0;23.0;5.81;16.5;18.31;38.0;62.0;8.0;30.22;40.0;7.0;15.14;21.0
Tue;27;9;2016;05:45;40.31;23.88;1.64;25.2;12.0;127.15;19.0;78.34;31.0;19.0;5.82;16.0;24.01;39.0;61.0;7.57;28.91;38.0;6.0;15.0;22.0
Tue;27;9;2016;06:00;39.4;22.83;1.64;25.3;12.0;124.36;19.0;76.61;31.0;18.0;5.83;16.0;23.58;40.0;62.0;8.02;29.72;40.0;7.0;15.14;22.0
Tue;27;9;2016;06:15;42.3;22.37;1.65;25.5;12.0;123.64;20.0;78.33;31.0;17.0;5.84;16.0;20.64;38.0;62.0;7.5;31.4;42.0;7.0;15.0;21.0
Tue;27;9;2016;06:30;39.46;22.61;1.64;25.0;12.0;127.07;18.0;76.75;31.0;18.0;5.85;16.5;22.89;39.0;60.0;8.03;31.17;41.0;7.0;15.09;22.0
Tue;27;9;2016;06:45;40.13;23.4;1.65;25.5;12.0;126.31;20.0;77.85;31.0;17.0;5.86;16.0;16.55;40.0;61.0;8.05;29.27;41.0;6.0;15.06;21.0
Tue;27;9;2016;07:00;41.94;24.11;1.65;25.5;12.0;125.98;19.0;78.1;31.0;18.0;5.87;15.5;19.94;39.0;62.0;8.01;29.73;42.0;7.0;15.06;22.0
Tue;27;9;2016;07:15;38.9;22.17;1.65;25.2;11.0;123.88;19.0;79.3;31.0;17.0;5.88;13.0;21.76;39.0;62.0;7.58;30.11;38.0;7.0;15.1;21.0
Tue;27;9;2016;07:30;41.84;24.1;1.65;25.3;12.0;124.6;19.0;80.66;30.0;18.0;5.89;14.0;15.71;38.0;62.0;7.91;34.96;39.0;6.0;15.0;22.0
Tue;27;9;2016;07:45;44.89;23.78;1.65;25.5;12.0;124.92;18.0;82.07;31.0;17.0;5.9;14.0;20.56;39.0;62.0;7.91;32.35;39.0;7.0;15.13;21.0
Tue;27;9;2016;08:00;40.74;22.01;1.64;25.2;13.0;125.31;20.0;80.74;32.0;18.0;5.91;14.0;16.7;39.0;61.0;8.09;30.06;40.0;5.0;15.04;22.0
Tue;27;9;2016;08:15;42.69;23.7;1.65;25.3;12.0;128.63;19.0;81.61;31.0;17.0;5.92;14.0;20.88;39.0;60.0;8.28;30.19;40.0;4.0;15.01;22.0
Tue;27;9;2016;08:30;43.95;23.35;1.65;25.5;12.0;128.99;22.0;84.06;33.0;18.0;5.93;15.0;16.71;40.0;62.0;8.05;30.63;40.0;4.0;19.51;21.0
Tue;27;9;2016;08:45;42.36;24.23;1.65;25.5;13.0;131.15;21.0;80.77;33.0;18.0;5.94;15.0;20.57;38.0;62.0;8.14;37.79;38.0;3.0;30.13;22.0
Tue;27;9;2016;09:00;46.07;21.48;1.65;25.5;12.0;132.78;21.0;85.32;33.0;18.0;5.95;14.5;25.04;39.0;61.0;8.49;38.52;39.0;6.0;18.74;25.0
Tue;27;9;2016;09:15;43.78;23.97;1.65;25.5;12.0;131.35;21.0;84.44;34.0;19.0;5.96;15.5;29.42;40.0;63.0;8.28;36.52;40.0;6.0;14.74;27.0
Tue;27;9;2016;09:30;43.75;23.76;1.65;25.5;13.0;130.59;22.0;84.54;32.0;24.0;5.97;16.0;29.6;39.0;62.0;8.39;33.61;42.0;8.0;14.62;29.0
Tue;27;9;2016;09:45;46.11;23.82;1.65;25.5;13.0;131.25;22.0;84.0;34.0;25.0;5.98;18.0;30.46;40.0;62.0;8.26;34.59;41.0;9.0;14.92;29.0
Tue;27;9;2016;10:00;44.43;23.55;1.65;25.2;13.0;131.3;22.0;85.5;33.0;23.0;5.99;18.0;29.71;40.0;62.0;8.24;34.58;42.0;5.0;16.41;28.0
Tue;27;9;2016;10:15;45.19;22.97;1.71;25.8;14.0;132.68;22.0;91.5;33.0;23.0;6.0;18.0;30.01;40.0;62.0;7.93;39.53;41.0;9.0;16.26;29.0
Tue;27;9;2016;10:30;47.3;24.6;1.67;25.5;13.0;133.46;22.0;90.32;34.0;23.0;6.01;17.0;30.62;41.0;63.0;8.47;40.09;40.0;9.0;16.44;28.0
Tue;27;9;2016;10:45;43.61;23.82;1.66;25.5;13.0;131.9;22.0;89.31;33.0;22.0;6.02;18.0;31.03;39.0;66.0;8.35;36.05;36.0;6.0;16.15;28.0
Tue;27;9;2016;11:00;43.2;22.78;1.66;25.5;14.0;132.96;22.0;87.8;33.0;23.0;6.03;18.0;31.38;38.0;66.0;8.4;38.96;39.0;10.0;15.85;29.0
Tue;27;9;2016;11:15;44.48;24.86;1.66;25.5;14.0;133.01;22.0;86.45;34.0;23.0;6.04;18.0;31.97;39.0;74.0;8.36;47.18;40.0;7.0;16.39;28.0
Tue;27;9;2016;11:30;43.68;24.47;1.66;25.5;14.0;132.66;23.0;92.84;33.0;23.0;6.05;17.5;32.43;43.0;74.0;8.2;44.69;41.0;8.0;16.4;28.0
Tue;27;9;2016;11:45;40.62;23.2;1.66;25.5;14.0;132.25;22.0;93.63;33.0;23.0;6.06;15.5;32.67;40.0;76.0;8.37;49.81;44.0;11.0;25.29;28.0
Tue;27;9;2016;12:00;42.64;24.78;1.65;26.0;15.0;132.04;22.0;91.22;34.0;24.0;6.07;15.0;32.02;40.0;76.0;7.76;46.08;45.0;6.0;18.89;27.0
Tue;27;9;2016;12:15;45.01;23.27;1.66;25.5;15.0;134.88;22.0;88.69;34.0;23.0;6.08;15.0;31.62;38.0;61.0;8.45;43.56;45.0;9.0;21.1;27.0
Tue;27;9;2016;12:30;44.29;23.99;1.66;25.7;14.0;132.35;22.0;87.52;33.0;24.0;6.09;16.0;31.86;40.0;65.0;8.55;42.98;42.0;10.0;20.79;28.0
Tue;27;9;2016;12:45;43.87;25.29;1.65;25.8;14.0;133.4;23.0;88.77;32.0;24.0;6.1;14.5;32.17;40.0;64.0;7.91;42.49;40.0;6.0;20.11;27.0
Tue;27;9;2016;13:00;46.11;23.65;1.83;25.2;15.0;132.93;22.0;90.72;33.0;24.0;6.11;14.5;31.86;40.0;63.0;8.49;46.11;43.0;9.0;22.87;26.0
Tue;27;9;2016;13:15;46.19;24.32;1.66;25.8;14.0;132.95;23.0;91.22;33.0;23.0;6.12;15.0;31.82;39.0;64.0;8.35;44.6;44.0;8.0;18.25;28.0
Tue;27;9;2016;13:30;44.0;23.85;1.81;25.2;14.0;134.45;22.0;92.4;33.0;24.0;6.13;15.5;31.96;40.0;66.0;8.15;44.39;44.0;8.0;21.75;27.0
Tue;27;9;2016;13:45;44.95;24.77;1.65;25.3;15.0;134.98;23.0;93.66;33.0;24.0;6.14;14.5;32.58;39.0;65.0;8.6;42.18;43.0;9.0;20.05;28.0
Tue;27;9;2016;14:00;46.37;24.26;1.85;25.7;15.0;133.27;21.0;93.38;34.0;24.0;6.15;15.0;32.2;40.0;68.0;8.48;43.33;44.0;10.0;19.53;28.0
Tue;27;9;2016;14:15;42.64;24.46;1.67;25.8;15.0;133.24;22.0;92.38;34.0;24.0;6.16;16.0;35.79;40.0;65.0;8.19;42.18;45.0;10.0;22.35;28.0
Tue;27;9;2016;14:30;44.77;24.4;1.84;25.5;15.0;135.64;22.0;94.3;33.0;25.0;6.17;18.0;32.33;40.0;68.0;8.54;43.44;44.0;10.0;19.5;28.0
Tue;27;9;2016;14:45;45.29;24.24;1.71;25.5;15.0;138.39;22.0;95.91;33.0;24.0;6.18;19.0;36.95;39.0;68.0;8.69;42.9;44.0;10.0;26.38;29.0
Tue;27;9;2016;15:00;42.87;24.82;1.78;25.5;16.0;136.4;23.0;93.23;34.0;24.0;6.19;17.5;33.71;39.0;65.0;8.35;45.02;44.0;10.0;26.35;29.0
Tue;27;9;2016;15:15;45.91;24.22;1.75;25.7;15.0;135.02;21.0;90.87;32.0;24.0;6.2;18.0;36.38;40.0;68.0;8.14;47.52;45.0;11.0;26.06;27.0
Tue;27;9;2016;15:30;43.5;24.26;1.75;25.8;17.0;134.83;23.0;91.84;34.0;25.0;6.21;18.0;35.37;40.0;69.0;8.78;45.3;44.0;10.0;24.69;30.0
Tue;27;9;2016;15:45;44.55;24.76;1.79;25.5;15.0;136.02;21.0;92.06;34.0;24.0;6.22;17.5;37.51;40.0;66.0;8.2;44.88;43.0;11.0;24.39;29.0
Tue;27;9;2016;16:00;44.77;24.69;1.71;26.0;15.0;135.81;22.0;93.92;34.0;24.0;6.23;18.0;35.85;41.0;76.0;8.28;44.53;45.0;10.0;20.0;28.0
Tue;27;9;2016;16:15;42.9;24.63;1.83;25.5;15.0;131.87;23.0;93.88;33.0;25.0;6.24;17.0;36.48;40.0;75.0;8.58;44.47;44.0;11.0;23.63;28.0
Tue;27;9;2016;16:30;46.78;24.41;1.69;25.5;15.0;133.87;22.0;92.04;34.0;24.0;6.25;15.0;32.51;39.0;67.0;8.42;43.33;44.0;11.0;24.78;28.0
Tue;27;9;2016;16:45;45.46;24.32;1.84;25.5;15.0;135.18;26.0;91.06;33.0;24.0;6.25;15.0;37.54;39.0;75.0;8.67;44.16;43.0;10.0;25.06;27.0
Tue;27;9;2016;17:00;46.15;24.11;1.66;25.5;14.0;133.76;24.0;93.17;32.0;25.0;6.26;16.0;35.96;40.0;70.0;8.38;42.6;43.0;11.0;24.48;27.0
Tue;27;9;2016;17:15;46.97;25.14;1.85;25.5;13.0;132.46;22.0;91.27;34.0;24.0;6.27;15.0;32.62;40.0;67.0;7.79;44.35;42.0;11.0;24.39;27.0
Tue;27;9;2016;17:30;44.34;23.83;1.66;25.5;14.0;133.37;24.0;91.54;34.0;24.0;6.28;15.4;32.01;39.0;66.0;8.38;42.59;42.0;11.0;24.55;28.0
Tue;27;9;2016;17:45;46.86;24.14;1.87;25.7;15.0;133.14;24.0;90.99;34.0;24.0;6.29;15.4;32.2;39.0;65.0;8.13;43.76;42.0;9.0;24.05;30.0
Tue;27;9;2016;18:00;43.91;24.32;1.66;25.3;13.0;134.32;23.0;91.53;33.0;23.0;6.3;15.4;29.3;40.0;66.0;7.72;41.23;42.0;9.0;27.19;28.0
Tue;27;9;2016;18:15;43.36;24.43;1.85;25.7;14.0;131.73;23.0;91.39;32.0;24.0;6.31;15.4;22.4;39.0;64.0;8.18;42.26;42.0;9.0;31.57;26.0
Tue;27;9;2016;18:30;45.47;23.63;1.65;25.3;13.0;131.97;23.0;90.82;33.0;23.0;6.32;15.4;22.19;39.0;66.0;8.04;40.64;42.0;8.0;32.58;27.0
Tue;27;9;2016;18:45;42.27;24.97;1.86;25.5;14.0;129.28;21.0;90.1;33.0;24.0;6.33;15.0;22.22;40.0;63.0;8.04;37.3;42.0;8.0;32.12;26.0
Tue;27;9;2016;19:00;42.13;23.61;1.85;25.5;13.0;129.63;22.0;90.6;33.0;22.0;6.34;16.0;19.35;40.0;64.0;7.63;36.14;41.0;8.0;29.13;27.0
Tue;27;9;2016;19:15;44.01;24.5;1.69;25.5;13.0;128.08;21.0;90.04;32.0;21.0;6.35;17.0;17.83;40.0;63.0;8.38;37.77;41.0;8.0;30.43;29.0
Tue;27;9;2016;19:30;41.33;24.32;1.83;25.5;13.0;131.22;21.0;89.19;32.0;22.0;6.36;17.5;20.8;40.0;64.0;7.82;38.06;42.0;8.0;31.37;27.0
Tue;27;9;2016;19:45;43.34;23.19;1.7;25.5;13.0;128.67;22.0;92.81;33.0;22.0;6.37;16.5;20.58;40.0;62.0;7.95;38.43;41.0;8.0;31.06;25.0
Tue;27;9;2016;20:00;41.89;24.14;1.81;25.5;13.0;132.45;22.0;90.36;32.0;23.0;6.38;16.5;16.42;40.0;64.0;8.29;37.78;41.0;8.0;28.49;25.0
Tue;27;9;2016;20:15;41.0;23.72;1.71;25.5;13.0;126.08;21.0;89.49;31.0;19.0;6.39;16.5;20.92;39.0;63.0;7.97;37.57;41.0;7.0;28.42;28.0
Tue;27;9;2016;20:30;43.21;24.24;1.84;25.5;13.0;128.9;21.0;90.31;33.0;22.0;6.4;16.5;20.06;40.0;62.0;7.93;36.82;41.0;8.0;30.01;27.0
Tue;27;9;2016;20:45;40.19;24.25;1.69;25.5;13.0;127.95;21.0;89.41;32.0;22.0;6.41;16.5;19.08;39.0;64.0;8.25;37.68;41.0;8.0;31.01;26.0
Tue;27;9;2016;21:00;41.35;22.96;1.82;25.2;12.0;129.29;23.0;88.82;32.0;22.0;6.42;16.0;17.08;40.0;62.0;7.93;29.88;42.0;8.0;31.07;25.0
Tue;27;9;2016;21:15;42.02;24.83;1.71;25.8;14.0;129.23;20.0;91.36;32.0;19.0;6.43;14.0;20.08;41.0;65.0;7.67;31.6;41.0;8.0;29.19;26.0
Tue;27;9;2016;21:30;40.75;23.43;1.88;25.2;12.0;130.27;21.0;92.74;31.0;23.0;6.44;13.5;18.51;39.5;62.0;8.32;36.14;41.0;7.0;28.5;26.0
Tue;27;9;2016;21:45;42.77;23.49;1.66;25.3;14.0;130.14;21.0;89.25;32.0;20.0;6.45;14.0;17.71;39.5;62.0;7.97;36.03;41.0;8.0;30.43;27.0
Tue;27;9;2016;22:00;40.49;24.45;1.86;25.7;13.0;127.47;20.0;87.23;32.0;21.0;6.46;14.0;19.76;39.0;62.0;8.23;32.6;41.0;8.0;29.81;27.0
Tue;27;9;2016;22:15;40.96;22.57;1.68;25.8;12.0;131.17;22.0;86.52;32.0;22.0;6.47;13.5;15.8;40.0;63.0;7.49;36.38;41.0;8.0;29.81;25.0
Tue;27;9;2016;22:30;42.58;24.63;1.87;25.2;13.0;126.86;19.0;87.33;31.0;20.0;6.48;14.0;20.12;40.0;64.0;8.24;31.84;42.0;7.0;27.97;25.0
Tue;27;9;2016;22:45;39.73;23.41;1.67;25.3;13.0;131.18;22.0;86.46;32.0;22.0;6.49;14.0;16.3;40.0;62.0;8.2;33.4;41.0;8.0;27.76;26.0
Tue;27;9;2016;23:00;42.56;23.0;1.86;25.7;13.0;127.05;21.0;84.62;32.0;22.0;6.5;13.0;18.95;40.0;63.0;8.23;36.56;41.0;8.0;27.77;28.0
Tue;27;9;2016;23:15;40.38;24.65;1.67;25.3;12.0;129.87;19.0;88.0;32.0;20.0;6.51;14.0;16.33;40.0;66.0;7.55;36.04;41.0;7.0;27.73;26.0
Tue;27;9;2016;23:30;41.02;22.68;1.86;25.5;13.0;126.77;21.0;86.23;31.0;22.0;6.52;14.0;15.54;39.5;67.0;8.25;35.33;41.0;8.0;27.8;24.0
Tue;27;9;2016;23:45;41.7;23.5;1.66;25.5;13.0;127.15;19.0;85.55;31.0;22.0;6.53;14.0;12.41;39.5;68.0;8.26;32.32;41.0;7.0;28.01;25.0
Wed;28;9;2016;00:00;40.03;24.32;1.87;25.5;13.0;127.9;20.0;87.07;32.0;22.0;6.54;14.0;17.15;39.0;69.0;7.73;32.43;41.0;8.0;28.22;28.0
Wed;28;9;2016;00:15;42.34;22.99;1.66;25.5;13.0;126.84;20.0;86.85;33.0;20.0;6.55;16.5;17.82;39.0;70.0;8.07;31.92;41.0;7.0;29.63;27.0
Wed;28;9;2016;00:30;40.09;25.02;1.86;25.5;13.0;128.42;19.0;85.2;31.0;21.0;6.56;16.5;17.27;39.0;65.0;7.94;37.38;40.0;7.0;27.73;25.0
Wed;28;9;2016;00:45;40.42;22.14;1.66;25.5;13.0;128.78;19.0;85.53;32.0;22.0;6.57;16.0;18.15;40.0;66.0;8.25;36.63;42.0;8.0;27.71;25.0
Wed;28;9;2016;01:00;42.47;24.79;1.86;25.2;13.0;131.07;21.0;86.77;32.0;20.0;6.58;16.0;16.52;40.0;64.0;7.92;33.12;43.0;7.0;27.62;27.0
Wed;28;9;2016;01:15;40.36;23.05;1.67;25.8;13.0;126.32;18.0;84.96;32.0;22.0;6.59;16.0;18.29;39.0;65.0;7.63;31.33;42.0;7.0;27.58;26.0
Wed;28;9;2016;01:30;40.07;23.93;1.85;25.2;12.0;128.58;19.0;84.47;33.0;21.0;6.6;16.0;15.83;39.0;64.0;8.09;29.1;40.0;8.0;27.58;25.0
Wed;28;9;2016;01:45;41.97;23.64;1.66;25.3;13.0;125.93;20.0;86.29;32.0;20.0;6.61;16.0;17.02;41.0;65.0;8.16;35.69;41.0;7.0;27.7;25.0
Wed;28;9;2016;02:00;39.84;24.01;1.87;25.5;14.0;130.69;18.0;84.71;33.0;22.0;6.62;16.0;12.16;39.0;65.0;8.06;34.34;41.0;7.0;27.55;26.0
Wed;28;9;2016;02:15;41.18;23.56;1.66;25.5;14.0;127.04;20.0;86.3;31.0;22.0;6.63;14.0;12.95;40.0;63.0;7.54;29.36;42.0;7.0;27.39;28.0
Wed;28;9;2016;02:30;41.3;23.81;1.88;25.5;12.0;129.31;18.0;83.14;33.0;22.0;6.64;14.0;18.94;41.0;64.0;8.1;28.48;43.0;8.0;27.59;25.0
Wed;28;9;2016;02:45;39.63;23.15;1.68;25.0;14.0;127.53;20.0;83.1;32.0;20.0;6.65;13.5;15.95;39.0;64.0;8.22;31.4;38.0;7.0;27.54;25.0
Wed;28;9;2016;03:00;43.04;24.26;1.85;25.5;13.0;126.99;19.0;85.25;32.0;21.0;6.66;13.5;19.2;39.0;65.0;7.89;30.27;42.0;7.0;27.45;25.0
Wed;28;9;2016;03:15;39.75;22.56;1.7;25.5;13.0;127.46;19.0;85.15;32.0;22.0;6.67;14.0;13.06;38.0;65.0;7.85;29.59;41.0;7.0;27.39;26.0
Wed;28;9;2016;03:30;40.53;23.43;1.82;25.2;12.0;129.01;18.0;84.94;32.0;20.0;6.68;14.0;12.4;39.0;65.0;8.06;28.45;41.0;7.0;27.36;28.0
Wed;28;9;2016;03:45;42.42;23.11;1.73;25.3;14.0;129.45;21.0;83.99;32.0;22.0;6.69;13.0;13.11;38.0;64.0;8.09;33.82;41.0;6.0;25.42;25.0
Wed;28;9;2016;04:00;39.11;25.1;1.8;25.5;12.0;128.41;18.0;87.13;31.0;21.0;6.7;14.0;18.75;38.0;63.0;8.11;33.68;41.0;7.0;27.21;25.0
Wed;28;9;2016;04:15;41.9;22.3;1.76;25.2;13.0;126.4;19.0;86.84;32.0;20.0;6.71;14.0;15.84;38.0;61.0;7.6;29.03;40.0;7.0;18.43;24.0
Wed;28;9;2016;04:30;41.11;24.34;1.77;25.3;13.0;127.4;21.0;85.95;31.0;22.0;6.72;14.0;15.36;38.0;62.0;7.94;29.29;41.0;7.0;15.08;27.0
Wed;28;9;2016;04:45;39.86;23.77;1.83;25.2;13.0;129.88;18.0;85.92;32.0;22.0;6.73;13.0;17.76;38.0;62.0;8.16;30.01;38.0;7.0;15.0;26.0
Wed;28;9;2016;05:00;42.29;21.91;1.69;25.3;12.0;127.98;19.0;87.02;32.0;22.0;6.74;14.5;16.81;39.0;62.0;8.03;33.09;40.0;7.0;15.13;24.0
Wed;28;9;2016;05:15;40.35;23.33;1.86;25.5;13.0;130.2;19.0;86.19;31.0;19.0;6.75;16.0;21.01;38.0;62.0;7.91;30.96;41.0;7.0;15.04;28.0
Wed;28;9;2016;05:30;40.71;24.34;1.67;25.0;12.0;126.99;20.0;84.83;32.0;22.0;6.75;16.5;17.06;39.0;61.0;7.91;33.95;41.0;7.0;15.03;25.0
Wed;28;9;2016;05:45;42.14;23.36;1.88;25.5;13.0;129.31;20.0;86.92;31.0;21.0;6.76;16.0;19.05;39.0;62.0;8.05;37.59;40.0;6.0;15.07;26.0
Wed;28;9;2016;06:00;40.46;24.52;1.66;25.0;13.0;126.78;18.0;86.3;32.0;20.0;6.77;16.0;16.09;38.0;61.0;7.98;37.55;41.0;8.0;15.06;26.0
Wed;28;9;2016;06:15;42.11;23.26;1.89;25.5;12.0;130.76;21.0;84.94;32.0;22.0;6.78;16.0;20.45;38.0;62.0;7.85;41.24;41.0;6.0;15.07;25.0
Wed;28;9;2016;06:30;40.8;23.14;1.66;25.5;13.0;125.91;18.0;86.11;32.0;20.0;6.79;16.0;17.98;39.0;61.0;7.53;42.44;40.0;6.0;15.05;25.0
Wed;28;9;2016;06:45;41.15;23.84;1.87;25.0;13.0;128.38;19.0;86.42;32.0;22.0;6.8;16.0;17.31;39.0;62.0;8.23;42.67;41.0;7.0;15.03;25.0
Wed;28;9;2016;07:00;43.8;23.06;1.66;25.5;13.0;128.06;20.0;85.83;32.0;22.0;6.81;16.0;19.42;37.0;62.0;7.98;42.38;41.0;7.0;15.06;26.0
