weekday;day;month;year;time;EA+ AVAC IT ALF1P0 (KWh);EA+ AVAC IT BVTP1 (KWh);EA+ AVAC IT ALF2A1 (KWh);EA+ AVAC IT ALF2A7+A8 (KWh);EA+ AVAC IT PDG (KWh);EA+ AVAC IT SNT (KWh);EA+ AVAC CMB (KWh);EA+ AVAC IT ALF1P-1 (KWh);EA+ AVAC FNC (KWh);EA+ AVAC IT FAR (KWh);EA+ AVAC IT BVTP0 (KWh);EA+ AVAC FMC (KWh);EA+ AVAC IT PTM (KWh);EA+ AVAC IT RAN (KWh);EA+ AVAC IT MAT (KWh);EA+ AVAC IT AVR (KWh)
Sat;13;1;2018;13:30;11,1;12,5;10,17;37,4;2,46;3,62;2,36;19,61;2,91;3,56;4,33;2,45;1,57;1,1;8,42;4,02
Sat;13;1;2018;13:45;8,0;12,5;10,62;37,32;2,61;3,62;2,31;19,5;2,91;3,56;4,36;2,46;1,69;1,0;8,43;3,72
Sat;13;1;2018;14:00;10,1;12,7;9,81;36,76;1,87;3,61;2,36;19,32;2,91;3,56;4,32;2,49;1,52;1,2;8,43;3,93
Sat;13;1;2018;14:15;8,1;12,1;9,97;38,33;2,33;11,79;2,42;19,9;2,9;2,37;4,34;2,5;1,76;1,1;8,44;4,03
Sat;13;1;2018;14:30;9,1;12,7;10,66;37,97;2,71;3,61;2,38;19,25;2,9;5,94;4,36;2,56;1,76;1,1;8,44;3,73
Sat;13;1;2018;14:45;8,5;12,1;9,87;38,77;1,98;4,62;2,45;20,39;2,9;3,77;4,33;2,58;1,68;1,2;8,43;4,03
Sat;13;1;2018;15:00;8,5;10,6;9,91;37,75;1,97;6,32;2,45;18,64;2,9;3,77;4,34;2,56;1,91;1,1;8,43;3,83
Sat;13;1;2018;15:15;11,0;11,8;10,47;36,53;2,98;5,09;2,44;20,89;2,9;3,77;4,31;2,56;1,89;1,0;8,41;3,92
Sat;13;1;2018;15:30;7,0;14,6;9,49;37,56;1,85;3,87;2,44;20,35;2,9;3,77;4,36;2,55;1,89;1,1;8,41;4,03
Sat;13;1;2018;15:45;11,0;12,6;9,91;39,22;1,99;6,52;2,51;21,26;2,9;3,77;4,33;2,52;1,89;1,1;8,4;3,73
Sat;13;1;2018;16:00;6,7;12,0;10,26;38,08;2,8;3,61;2,51;19,23;2,91;3,77;4,39;2,4;1,4;1,0;8,44;4,03
Sat;13;1;2018;16:15;11,0;12,3;10,16;36,71;2,2;4,55;2,4;18,71;2,91;3,77;4,98;2,4;1,93;1,1;8,45;3,83
Sat;13;1;2018;16:30;7,6;12,0;9,84;37,04;1,99;3,67;2,34;20,2;2,91;3,77;4,82;2,4;1,93;0,7;8,42;3,72
Sat;13;1;2018;16:45;11,2;12,4;9,8;36,38;2,2;5,94;2,31;18,81;2,91;3,77;5,33;2,4;1,93;0,7;8,41;4,02
Sat;13;1;2018;17:00;6,4;12,6;10,17;36,91;2,79;3,62;2,29;19,95;2,9;3,77;4,76;2,39;1,94;1,0;8,44;3,62
Sat;13;1;2018;17:15;11,2;12,2;9,37;35,55;1,96;4,64;2,26;18,75;2,9;3,77;4,78;2,38;1,94;0,8;8,44;3,92
Sat;13;1;2018;17:30;5,9;10,3;9,11;38,62;1,82;3,59;2,3;20,15;2,9;3,77;4,79;2,38;1,93;0,7;8,42;3,73
Sat;13;1;2018;17:45;11,1;10,5;9,64;36,29;2,98;3,6;2,28;19,11;2,9;3,77;4,76;2,73;1,6;0,9;8,42;3,62
Sat;13;1;2018;18:00;8,1;12,9;9,46;34,14;2,07;3,61;2,28;19,99;2,9;3,77;4,47;2,06;1,71;1,0;8,42;3,72
Sat;13;1;2018;18:15;9,9;13,1;9,06;36,44;1,9;3,63;2,26;20,42;2,89;3,77;4,38;3,76;1,89;0,7;8,45;3,83
Sat;13;1;2018;18:30;7,6;13,6;9,7;35,49;2,49;3,35;2,17;20,5;2,89;4,67;4,3;2,83;1,89;0,8;8,45;3,64
Sat;13;1;2018;18:45;9,3;11,8;9,69;34,95;2,55;2,95;2,16;19,9;2,88;4,67;4,39;2,58;1,88;0,8;8,47;4,14
Sat;13;1;2018;19:00;8,0;12,1;9,37;37,9;2,06;2,96;2,2;17,55;2,88;4,67;4,37;3,91;1,88;0,7;8,45;3,54
Sat;13;1;2018;19:15;8,8;12,3;9,24;35,89;1,86;2,95;2,22;19,98;2,87;4,67;4,35;2,07;1,46;0,8;8,46;3,84
Sat;13;1;2018;19:30;10,2;12,1;9,67;35,53;2,31;2,96;2,17;18,74;2,88;4,67;4,39;3,46;1,91;0,7;8,45;3,74
Sat;13;1;2018;19:45;8,2;12,4;9,63;36,81;2,54;2,96;2,14;19,63;2,88;2,91;4,42;2,98;1,81;0,7;8,46;3,84
Sat;13;1;2018;20:00;9,7;12,0;9,1;34,89;2,05;2,96;2,25;20,45;2,88;4,13;4,35;2,24;1,57;0,7;8,49;3,63
Sat;13;1;2018;20:15;6,8;12,6;9,52;33,99;1,99;2,96;2,21;20,25;2,88;4,13;4,4;3,96;1,89;0,7;8,51;3,84
Sat;13;1;2018;20:30;10,6;12,1;9,36;38,63;2,07;2,96;2,19;21,39;2,87;1,32;4,39;2,15;1,3;0,7;8,51;3,73
Sat;13;1;2018;20:45;7,6;12,2;8,94;35,69;2,63;2,92;2,21;20,85;2,87;4,34;4,39;3,0;1,93;0,7;8,49;3,53
Sat;13;1;2018;21:00;10,7;12,4;9,33;35,06;2,31;2,93;2,21;21,17;2,87;4,34;4,39;3,12;1,46;0,7;8,48;3,83
Sat;13;1;2018;21:15;6,7;11,3;8,89;37,31;2,02;2,93;2,21;20,01;2,87;1,42;4,4;2,08;1,9;0,6;8,5;3,63
Sat;13;1;2018;21:30;10,6;13,4;9,37;35,78;1,93;2,83;2,12;19,05;2,87;3,48;4,38;3,74;1,33;0,6;8,51;3,73
Sat;13;1;2018;21:45;6,0;12,7;9,0;34,52;2,03;2,42;2,09;22,02;2,87;4,8;4,44;2,29;1,82;0,6;8,52;3,43
Sat;13;1;2018;22:00;11,2;11,7;8,93;36,83;2,65;2,72;2,19;19,31;2,88;7,14;4,36;2,18;1,25;0,6;8,49;3,82
Sat;13;1;2018;22:15;6,8;11,9;9,73;36,67;2,36;2,88;2,09;21,93;2,88;7,14;4,37;2,47;1,8;0,6;8,51;3,83
Sat;13;1;2018;22:30;10,3;12,3;8,94;32,8;1,87;2,66;2,08;19,9;2,88;3,07;4,4;2,46;1,48;0,7;8,51;3,52
Sat;13;1;2018;22:45;7,4;12,2;9,81;37,66;2,01;2,17;2,21;21,07;2,88;3,07;4,44;2,46;1,29;0,6;8,49;3,93
Sat;13;1;2018;23:00;9,0;12,0;9,55;36,94;2,3;2,19;2,03;20,37;5,1;3,07;4,37;2,46;1,62;0,6;8,51;3,53
Sat;13;1;2018;23:15;8,6;10,0;9,95;33,62;2,43;2,69;2,02;20,41;4,39;3,07;4,39;2,46;1,58;0,6;8,53;3,53
Sat;13;1;2018;23:30;9,0;10,6;9,58;37,53;2,3;2,64;2,1;21,36;3,91;3,07;4,36;2,47;1,4;0,5;8,51;3,73
Sat;13;1;2018;23:45;8,8;12,6;9,98;37,03;2,04;2,18;2,11;21,12;3,26;3,07;4,39;2,47;1,26;0,7;8,54;3,63
Sun;14;1;2018;00:00;8,0;13,6;10,26;33,07;1,75;2,19;2,01;21,04;3,29;3,07;4,4;2,47;1,77;0,5;8,57;3,43
Sun;14;1;2018;00:15;9,2;11,3;9,52;37,12;2,35;2,4;2,05;18,29;3,32;3,07;4,4;2,47;1,21;0,7;8,59;3,73
Sun;14;1;2018;00:30;7,5;12,3;9,91;36,63;2,35;2,7;2,07;20,85;3,45;2,89;4,4;2,47;1,26;0,6;8,56;3,43
Sun;14;1;2018;00:45;11,0;13,4;9,89;35,28;2,37;2,26;1,99;19,29;3,43;4,89;4,24;2,46;1,24;0,5;8,57;3,63
Sun;14;1;2018;01:00;6,5;12,6;10,15;35,22;2,05;2,16;1,98;20,47;3,03;4,89;3,97;2,46;1,56;0,6;8,54;3,83
Sun;14;1;2018;01:15;10,7;12,0;9,57;38,34;1,87;2,16;2,08;19,71;3,08;4,89;3,77;2,46;1,31;0,6;8,55;3,63
Sun;14;1;2018;01:30;5,8;12,1;9,79;33,14;2,49;2,57;1,99;20,09;3,4;4,89;3,97;2,46;1,57;0,6;8,56;3,43
Sun;14;1;2018;01:45;10,9;12,4;10,14;35,57;1,87;2,38;1,98;20,64;3,39;4,89;4,4;2,46;0,97;0,6;8,55;3,73
Sun;14;1;2018;02:00;7,7;12,5;9,53;37,09;2,48;1,92;2,05;19,83;3,28;3,84;4,43;2,46;1,38;0,5;8,54;3,63
Sun;14;1;2018;02:15;9,2;12,2;9,76;35,16;2,57;1,91;2,0;20,34;3,34;3,17;3,8;2,47;1,52;0,6;8,56;3,43
Sun;14;1;2018;02:30;8,0;12,5;9,78;34,08;2,2;1,92;2,17;19,43;3,13;3,24;4,45;2,47;1,36;0,6;8,55;3,73
Sun;14;1;2018;02:45;7,7;12,2;9,97;36,53;1,69;1,93;2,01;19,15;3,42;3,24;4,46;2,47;1,25;0,5;8,46;3,43
Sun;14;1;2018;03:00;9,7;12,3;9,59;35,11;2,29;2,16;2,03;21,5;2,97;3,24;4,38;2,47;1,01;0,5;8,48;3,63
Sun;14;1;2018;03:15;8,2;12,2;9,38;34,76;2,79;2,21;2,09;19,66;3,07;3,24;3,55;2,47;1,15;0,6;8,5;3,44
Sun;14;1;2018;03:30;9,6;12,7;10,15;36,34;1,62;1,92;2,08;20,31;3,36;3,24;3,62;2,47;1,28;0,6;8,47;3,54
Sun;14;1;2018;03:45;5,7;11,4;9,83;34,38;2,15;1,92;1,96;20,04;3,35;3,88;4,42;2,09;1,34;0,4;8,5;3,74
Sun;14;1;2018;04:00;11,6;10,6;9,6;34,55;2,79;1,93;1,93;20,14;3,02;3,88;3,79;2,13;1,18;0,6;8,52;3,43
Sun;14;1;2018;04:15;6,9;10,7;9,59;37,66;1,69;1,92;2,02;20,94;3,06;3,88;4,41;3,83;1,08;0,5;8,51;3,63
Sun;14;1;2018;04:30;9,9;12,7;9,65;33,64;2,15;1,93;2,02;21,08;3,23;3,88;4,46;2,09;1,2;0,6;8,52;3,63
Sun;14;1;2018;04:45;6,8;13,0;10,21;35,88;2,81;1,93;1,88;19,93;3,31;3,88;3,76;2,09;1,31;0,5;8,55;3,73
Sun;14;1;2018;05:00;8,6;13,8;9,43;36,32;2,62;1,92;2,04;20,31;3,25;3,88;3,33;2,51;1,23;0,5;8,44;3,33
Sun;14;1;2018;05:15;7,8;11,6;9,52;34,86;2,62;1,92;2,1;20,17;3,27;3,88;4,41;3,23;0,81;0,5;8,01;3,63
Sun;14;1;2018;05:30;9,4;12,1;10,28;36,81;1,07;1,93;1,99;19,61;3,21;3,88;3,78;2,1;1,21;0,6;8,02;3,53
Sun;14;1;2018;05:45;8,6;12,4;9,39;36,1;2,32;1,93;2,08;19,8;2,78;3,88;4,41;2,09;1,26;0,4;8,05;3,43
Sun;14;1;2018;06:00;7,2;12,6;9,68;34,32;2,08;1,92;1,93;20,35;3,4;3,88;4,0;3,05;0,9;0,5;8,26;3,43
Sun;14;1;2018;06:15;9,4;12,3;9,78;36,38;1,74;1,92;2,06;20,41;3,26;3,88;3,4;2,68;1,08;0,6;8,73;3,53
Sun;14;1;2018;06:30;6,8;12,0;9,85;36,53;3,05;1,92;2,08;20,21;3,22;3,88;4,06;2,1;1,39;0,4;8,55;3,63
Sun;14;1;2018;06:45;11,1;12,4;9,67;37,33;1,55;1,92;1,96;19,8;3,23;3,88;3,65;2,09;0,71;0,6;8,5;3,43
Sun;14;1;2018;07:00;5,9;12,2;9,37;34,62;2,41;1,92;2,02;20,55;3,24;3,88;4,43;2,25;1,33;0,4;8,51;3,53
Sun;14;1;2018;07:15;9,8;12,2;9,85;39,0;2,35;1,92;1,99;19,65;3,19;3,88;4,21;3,53;1,06;0,5;8,37;3,73
Sun;14;1;2018;07:30;6,5;11,9;9,91;38,15;1,95;1,93;2,06;20,47;2,96;3,88;3,53;2,1;1,19;0,3;8,07;3,53
Sun;14;1;2018;07:45;9,8;11,1;9,62;36,74;2,8;1,93;2,0;20,42;3,15;3,88;4,38;2,1;0,93;0,6;8,08;3,33
Sun;14;1;2018;08:00;8,2;10,4;9,8;37,18;1,55;1,93;1,95;19,74;3,2;2,66;3,94;2,1;1,16;0,5;8,14;3,63
Sun;14;1;2018;08:15;8,4;10,2;9,37;38,92;2,54;1,92;1,98;20,15;3,33;5,71;3,73;2,1;0,86;0,4;8,27;3,43
Sun;14;1;2018;08:30;8,1;12,5;9,89;38,06;2,25;1,92;1,88;20,11;3,27;4,13;3,35;3,56;1,15;0,6;8,66;3,63
Sun;14;1;2018;08:45;7,6;12,3;10,06;36,09;1,59;1,92;1,95;20,75;3,21;4,13;3,88;2,17;0,84;0,4;8,47;3,43
Sun;14;1;2018;09:00;10,6;12,5;9,44;38,88;2,72;1,9;1,87;20,58;2,75;4,13;3,89;2,09;1,08;0,5;8,47;3,53
Sun;14;1;2018;09:15;6,6;11,9;9,73;38,66;2,07;1,9;2,02;20,67;3,27;4,13;3,85;2,09;1,06;0,6;8,45;3,53
Sun;14;1;2018;09:30;10,6;11,8;9,97;38,85;2,03;2,07;1,92;21,02;3,35;4,13;3,56;2,09;1,11;0,4;8,43;3,43
Sun;14;1;2018;09:45;5,6;11,8;9,86;39,46;2,72;2,08;2,11;20,65;2,69;4,13;3,85;2,95;1,17;0,6;8,44;3,53
Sun;14;1;2018;10:00;11,0;10,2;9,86;37,09;1,59;2,3;2,0;21,07;3,41;4,13;4,54;2,66;0,73;0,5;8,45;3,63
Sun;14;1;2018;10:15;7,3;10,5;9,69;37,68;2,98;2,4;2,03;20,64;3,27;2,89;4,39;2,08;1,19;0,5;8,43;3,63
Sun;14;1;2018;10:30;10,2;12,2;10,04;35,35;1,51;2,61;2,14;21,07;3,34;2,89;4,41;2,08;0,81;0,5;8,44;3,53
Sun;14;1;2018;10:45;6,4;12,5;9,96;33,89;2,65;2,93;2,08;20,63;2,71;2,89;4,41;3,31;1,27;0,6;8,44;3,32
Sun;14;1;2018;11:00;9,5;12,3;9,35;38,53;2,17;2,94;2,14;20,54;3,4;2,84;4,34;2,45;0,71;0,5;8,43;3,63
Sun;14;1;2018;11:15;8,8;12,1;9,73;38,28;2,06;2,93;2,26;20,9;3,23;4,85;4,37;2,08;1,35;0,6;8,4;3,42
Sun;14;1;2018;11:30;8,7;12,2;10,08;33,66;2,57;2,92;2,29;20,6;3,12;4,85;4,38;2,88;0,71;0,5;8,4;3,72
Sun;14;1;2018;11:45;9,0;13,3;9,43;33,63;1,45;2,92;2,44;21,15;3,34;4,85;4,33;2,9;1,25;0,6;8,4;3,52
Sun;14;1;2018;12:00;7,3;9,7;9,62;38,32;3,16;2,91;2,49;20,99;3,22;4,85;4,31;2,1;1,27;0,6;8,38;3,62
Sun;14;1;2018;12:15;9,9;10,5;10,15;37,88;1,44;2,9;2,5;20,5;3,27;4,85;4,32;2,57;1,08;0,6;8,42;3,53
Sun;14;1;2018;12:30;8,0;13,0;10,11;37,85;3,31;2,9;2,5;21,1;3,06;3,48;4,3;2,47;0,93;0,6;8,43;3,63
Sun;14;1;2018;12:45;10,6;12,2;9,57;36,24;1,82;3,15;2,49;21,08;2,89;3,48;4,29;2,45;1,42;0,6;8,42;3,63
Sun;14;1;2018;13:00;6,6;12,5;9,7;37,61;2,74;3,3;2,51;21,03;3,34;3,48;4,26;2,46;1,09;0,7;8,41;3,63
Sun;14;1;2018;13:15;10,2;12,3;10,01;37,35;1,78;2,9;2,51;20,42;3,3;3,48;4,29;2,46;1,34;0,6;8,43;3,53
Sun;14;1;2018;13:30;6,5;12,2;10,1;34,29;2,13;3,35;2,51;19,92;3,1;3,48;4,32;2,49;1,27;0,6;8,43;3,63
Sun;14;1;2018;13:45;11,9;12,5;9,42;38,85;2,65;3,61;2,51;19,97;2,8;2,81;4,26;2,48;1,22;0,7;8,41;3,63
Sun;14;1;2018;14:00;6,4;12,0;10,04;38,32;2,3;3,08;2,47;19,87;3,4;3,3;4,28;2,5;1,66;0,7;8,43;3,53
Sun;14;1;2018;14:15;10,5;12,7;10,18;37,4;1,87;3,28;2,48;20,32;2,83;3,29;4,24;2,49;1,25;0,6;8,43;3,73
Sun;14;1;2018;14:30;6,2;12,0;9,4;33,39;2,38;3,64;2,44;20,28;3,16;3,35;4,28;2,49;1,24;0,8;8,43;3,53
Sun;14;1;2018;14:45;10,4;12,6;10,2;38,24;2,76;3,62;2,42;20,15;3,23;4,5;4,22;2,48;1,76;0,7;8,42;3,63
Sun;14;1;2018;15:00;8,5;12,2;9,95;38,86;1,79;3,57;2,35;20,5;3,3;4,5;4,28;2,49;1,36;0,8;8,42;3,63
Sun;14;1;2018;15:15;9,2;10,3;9,5;36,08;2,1;3,62;2,27;20,43;3,19;1,36;4,28;2,49;1,6;0,6;8,44;3,63
Sun;14;1;2018;15:30;8,3;10,3;9,87;33,43;2,91;3,62;2,25;20,16;3,08;3,57;4,29;2,48;1,56;0,8;8,43;3,63
Sun;14;1;2018;15:45;7,9;12,1;10,05;37,73;1,9;3,61;2,22;20,41;2,94;4,7;4,16;2,49;1,46;0,7;8,42;4,03
Sun;14;1;2018;16:00;9,4;12,9;9,66;37,82;2,0;3,6;2,23;20,3;3,28;5,63;4,28;2,49;1,76;0,8;8,44;3,53
Sun;14;1;2018;16:15;8,3;13,0;9,31;36,99;2,52;3,61;2,21;20,02;3,22;5,58;4,27;2,48;1,45;0,7;8,46;3,23
Sun;14;1;2018;16:30;10,1;11,9;9,82;32,81;2,62;3,61;2,21;20,01;3,17;4,03;4,27;2,47;1,89;0,8;8,44;3,83
Sun;14;1;2018;16:45;6,6;13,2;10,22;36,24;2,0;3,15;2,16;19,97;3,14;4,03;4,86;2,46;1,59;0,8;8,43;3,03
Sun;14;1;2018;17:00;10,1;12,8;9,4;38,26;1,97;3,15;2,09;19,98;2,84;1,23;4,25;2,45;1,56;0,7;8,43;4,03
Sun;14;1;2018;17:15;6,5;13,0;9,64;36,32;2,4;3,61;2,04;20,33;3,34;3,22;4,26;2,46;1,39;0,7;8,43;4,13
Sun;14;1;2018;17:30;11,8;12,1;9,73;34,43;2,67;3,05;2,05;20,79;3,27;4,2;4,3;2,44;1,88;0,7;8,44;10,72
Sun;14;1;2018;17:45;6,3;10,4;9,3;35,79;2,1;2,94;2,0;20,96;2,81;4,2;4,29;2,41;1,37;0,6;8,51;3,53
Sun;14;1;2018;18:00;10,2;10,1;9,7;35,54;1,82;3,55;1,97;21,2;3,63;3,03;4,28;2,42;1,86;0,8;8,5;3,62
Sun;14;1;2018;18:15;6,3;11,7;9,62;38,73;2,48;2,93;1,9;20,3;2,74;1,43;4,32;2,33;1,33;0,6;8,49;4,23
Sun;14;1;2018;18:30;9,9;12,7;10,16;34,74;2,57;2,93;1,9;20,99;3,3;4,94;4,33;2,11;1,89;0,6;8,49;3,53
Sun;14;1;2018;18:45;8,7;12,3;9,78;32,59;1,99;2,94;1,93;20,9;3,21;4,74;4,29;2,64;1,38;0,6;8,54;3,63
Sun;14;1;2018;19:00;8,2;12,2;9,38;38,97;1,99;2,94;1,88;20,88;3,21;3,1;4,29;2,72;1,29;0,7;8,5;4,03
Sun;14;1;2018;19:15;9,3;12,2;9,62;38,42;2,03;2,93;1,87;20,44;2,69;3,1;4,3;2,52;1,89;0,6;8,52;3,23
Sun;14;1;2018;19:30;6,7;12,0;9,51;34,56;2,89;2,8;1,87;20,93;3,3;3,1;3,9;2,11;1,39;0,6;8,54;4,03
Sun;14;1;2018;19:45;10,4;12,2;9,74;34,35;1,72;2,23;1,87;21,1;3,17;3,1;3,93;2,49;1,32;0,6;8,52;3,73
Sun;14;1;2018;20:00;7,2;11,0;9,61;37,34;2,57;2,63;1,84;20,93;2,95;3,1;3,95;2,5;1,86;0,6;8,52;3,23
Sun;14;1;2018;20:15;10,7;10,4;9,77;36,78;2,28;2,68;1,88;20,96;3,16;3,1;3,92;2,5;1,1;0,6;8,53;5,94
Sun;14;1;2018;20:30;6,2;11,2;10,25;36,46;2,11;2,28;1,85;20,73;3,11;3,1;3,92;2,5;1,87;0,6;8,55;3,13
Sun;14;1;2018;20:45;9,9;12,9;9,52;33,23;1,97;2,01;1,8;21,21;3,11;3,1;3,91;2,51;1,23;0,6;8,55;3,83
Sun;14;1;2018;21:00;7,1;12,2;9,43;35,74;2,1;2,46;1,85;20,54;3,23;3,1;3,9;2,51;1,33;0,6;8,58;3,33
Sun;14;1;2018;21:15;10,4;12,4;10,17;38,85;2,69;2,06;1,87;20,81;3,21;3,1;3,92;2,51;1,46;0,6;8,59;3,43
Sun;14;1;2018;21:30;7,6;11,7;9,69;36,89;2,22;1,78;1,87;20,46;3,18;3,1;3,6;2,51;1,55;0,4;8,61;3,33
Sun;14;1;2018;21:45;8,4;12,2;9,6;32,08;2,35;2,4;1,93;20,75;2,91;3,1;3,82;2,52;1,09;0,6;8,62;3,43
Sun;14;1;2018;22:00;8,6;12,2;9,4;36,06;1,95;2,01;1,98;20,56;3,21;1,2;3,89;2,51;1,73;0,5;8,64;3,63
Sun;14;1;2018;22:15;7,8;12,1;9,6;38,16;2,04;1,74;1,88;20,73;3,13;3,89;3,88;2,52;1,26;0,6;8,65;3,03
Sun;14;1;2018;22:30;10,4;12,2;9,69;33,5;2,47;2,4;1,98;20,97;3,0;3,28;3,91;2,52;1,16;0,5;8,63;3,7
Sun;14;1;2018;22:45;6,4;12,1;9,38;36,79;2,68;1,91;1,91;20,71;3,3;3,28;3,94;2,52;1,23;0,5;8,63;5,31
Sun;14;1;2018;23:00;10,7;11,2;9,72;33,09;1,96;1,82;1,94;20,73;3,82;3,28;3,55;2,28;1,51;0,4;8,58;3,13
Sun;14;1;2018;23:15;5,6;10,4;10,04;37,17;1,82;2,36;1,85;21,32;3,79;3,28;3,86;2,25;1,37;0,6;8,58;3,73
Sun;14;1;2018;23:30;10,6;11,1;9,28;35,64;2,59;1,68;1,9;20,64;1,81;3,28;3,9;2,7;1,11;0,5;8,57;2,93
Sun;14;1;2018;23:45;7,2;13,7;9,39;35,68;2,51;2,12;1,83;20,8;1,98;2,87;3,98;2,38;1,03;0,4;8,61;3,04
Mon;15;1;2018;00:00;9,7;13,4;9,87;32,27;2,07;2,05;1,87;20,35;1,98;3,37;3,72;2,13;1,17;0,6;8,37;3,73
Mon;15;1;2018;00:15;7,3;11,5;9,76;35,72;1,98;1,67;1,81;20,16;1,98;3,37;3,72;2,54;1,46;0,4;8,22;3,03
Mon;15;1;2018;00:30;8,9;12,0;9,29;36,86;1,97;2,35;1,9;21,11;1,98;3,37;3,97;2,59;1,22;0,5;8,19;2,93
Mon;15;1;2018;00:45;9,7;12,1;9,51;35,18;2,76;1,68;1,79;20,6;1,98;3,37;3,95;2,13;0,87;0,6;8,27;3,13
Mon;15;1;2018;01:00;7,3;12,2;9,69;36,1;2,41;2,01;1,84;20,74;1,98;3,37;3,86;2,13;1,25;0,4;8,76;3,63
Mon;15;1;2018;01:15;9,7;12,7;9,69;35,79;2,18;2,01;2,02;20,47;1,98;3,37;2,92;2,66;1,11;0,5;8,61;2,93
Mon;15;1;2018;01:30;6,3;10,6;9,43;35,76;1,67;1,65;1,83;20,17;1,98;3,37;3,95;2,33;1,06;0,4;8,61;3,03
Mon;15;1;2018;01:45;11,0;10,6;9,49;34,31;2,35;2,33;2,0;20,27;1,98;3,37;3,96;2,12;1,05;0,6;8,64;3,13
Mon;15;1;2018;02:00;6,9;11,0;9,67;35,35;2,86;1,67;1,91;20,45;1,98;3,37;3,38;2,35;1,18;0,4;8,55;2,93
Mon;15;1;2018;02:15;12,5;13,0;9,65;35,61;2,17;2,01;2,13;20,45;1,98;3,37;3,43;2,6;0,82;0,5;8,25;3,13
Mon;15;1;2018;02:30;8,7;12,6;9,45;37,55;2,41;1,96;1,91;20,58;1,98;3,37;3,98;2,2;0,77;0,4;8,21;3,73
Mon;15;1;2018;02:45;10,1;12,5;9,39;37,25;1,68;1,66;1,81;19,94;1,98;3,37;3,79;2,13;1,23;0,5;8,24;2,93
Mon;15;1;2018;03:00;8,2;12,6;9,78;19,23;3,34;2,3;1,75;16,49;1,98;1,41;2,73;2,35;0,79;0,5;8,29;2,93
Mon;15;1;2018;03:15;8,1;12,4;9,51;40,66;0,97;1,67;1,75;21,6;1,98;3,23;3,47;2,59;1,13;0,4;8,53;3,13
Mon;15;1;2018;03:30;11,5;12,4;9,22;41,16;3,31;1,91;1,78;19,73;1,98;3,22;3,44;2,13;0,72;0,4;8,88;2,93
Mon;15;1;2018;03:45;7,5;12,1;9,74;40,16;1,22;2,03;1,76;20,22;1,98;3,46;3,38;2,13;0,74;0,5;8,48;2,93
Mon;15;1;2018;04:00;9,8;12,5;9,62;36,44;3,33;1,66;1,78;20,31;1,98;3,46;3,46;2,33;1,32;0,4;8,3;3,13
Mon;15;1;2018;04:15;7,7;12,2;9,25;41,11;1,12;2,19;1,74;20,17;1,98;3,46;3,46;2,53;0,72;0,5;8,27;3,03
Mon;15;1;2018;04:30;10,0;11,6;9,36;35,3;3,17;1,72;1,74;20,77;1,98;3,46;3,43;2,13;0,72;0,5;8,49;2,93
Mon;15;1;2018;04:45;7,2;10,6;9,8;34,14;1,59;1,79;1,73;20,26;1,98;3,46;3,4;2,13;1,27;0,4;8,89;3,03
Mon;15;1;2018;05:00;8,6;10,4;9,45;37,1;2,79;2,1;1,75;19,92;1,98;3,46;3,46;2,13;0,72;0,5;8,78;3,03
Mon;15;1;2018;05:15;9,8;12,4;9,09;37,13;1,34;1,66;1,76;19,74;1,98;3,46;3,47;2,54;0,72;0,4;8,33;2,93
Mon;15;1;2018;05:30;8,5;12,7;9,7;38,23;3,24;2,04;1,74;19,85;1,98;2,77;3,42;2,36;0,72;0,5;8,17;3,03
Mon;15;1;2018;05:45;9,4;12,8;9,75;34,85;1,6;1,7;1,77;19,96;1,98;2,77;3,41;2,13;0,72;0,4;8,15;3,03
Mon;15;1;2018;06:00;7,1;12,0;9,13;35,51;2,83;1,66;1,75;20,27;1,98;2,77;3,45;2,13;0,71;0,5;7,91;2,93
Mon;15;1;2018;06:15;10,3;12,1;9,23;36,45;1,54;2,17;1,74;19,97;1,97;3,12;3,42;2,13;0,71;0,4;7,25;3,03
Mon;15;1;2018;06:30;8,9;12,4;9,74;39,67;3,33;1,63;1,74;20,14;1,97;3,28;3,4;2,52;0,71;0,5;7,5;2,92
Mon;15;1;2018;06:45;9,6;10,3;9,43;36,4;1,11;1,72;1,76;20,32;1,97;3,28;3,43;2,32;0,71;0,5;8,14;3,03
Mon;15;1;2018;07:00;6,9;10,0;9,15;35,03;3,31;2,03;1,75;20,26;1,98;3,28;3,43;2,14;0,72;0,4;8,14;2,94
Mon;15;1;2018;07:15;8,7;11,2;9,38;35,94;1,13;1,68;1,77;20,06;1,99;3,28;3,42;2,14;0,72;0,5;8,03;3,04
Mon;15;1;2018;07:30;8,6;12,8;9,66;39,63;3,16;1,92;1,83;20,51;1,99;3,28;3,46;2,14;0,72;0,4;7,35;3,03
Mon;15;1;2018;07:45;7,9;12,3;9,31;36,22;1,19;1,79;1,8;20,6;1,99;3,46;3,45;2,13;0,72;0,4;7,46;2,93
Mon;15;1;2018;08:00;9,0;11,9;9,34;35,25;3,31;1,66;1,82;21,07;1,99;3,46;3,53;2,43;0,71;0,4;8,46;3,03
Mon;15;1;2018;08:15;7,3;12,2;9,62;36,95;1,2;2,02;1,75;19,84;1,98;3,46;4,05;2,36;0,71;0,4;8,19;3,02
Mon;15;1;2018;08:30;10,0;9,4;9,5;36,37;3,32;1,66;1,8;20,66;2,06;3,46;4,61;3,36;0,71;0,5;8,07;2,93
