Vodafone - Realtime Data;;;;;;;;;;;;;;;;;;;;
Generated by: Tobias Conde;;;;;;;;;;;;;;;;;;;;
At: January 30, 2018 17:02 (Europe/Lisbon);;;;;;;;;;;;;;;;;;;;
From: January 01, 2017 00:00, To: December 31, 2017 23:59;;;;;;;;;;;;;;;;;;;;
Rate: 15 minutes;;;;;;;;;;;;;;;;;;;;
Exported by WiseMetering;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
weekday;day;month;year;time;EA+ OMCs (KWh);EA+ GERAL 1 RAN (KWh);EA+ BVTP0 (KWh);EA+ GERAL 2 RAN (KWh);EA+ GERAL CMB (KWh);EA+ GERAL PDG (KWh);EA+ Q.INV 1 FAR (KWh);EA+ Q.INV 1 SNT (KWh);EA+ QGD 2 ALF1P-1 (KWh);EA+ Q.INV1 MAT (KWh);EA+ Q.INV1 FNC (KWh);EA+ GERAL AVR (KWh);EA+ QGD 1 ALF1P-1 (KWh);EA+ QGD 1 PTM (KWh);EA+ Q.INV 2 SNT (KWh);EA+ GERAL FMC (KWh)
Tue;11;04;2017;07:15;383,17;10;82,2;22;20;7;14,1;15,72;35;48;8,39;32,81;41;7;14,95;25
Tue;11;04;2017;07:30;383,02;9;81,61;23;19;6;14,1;16,27;35;54;8,35;32,74;39;6;14,95;24
Tue;11;04;2017;07:45;391,87;10;81,32;23;19;7;7,5;15,85;36;68;8,59;32,65;37;7;14,96;24
Tue;11;04;2017;08:00;397,98;9;84,17;23;22;6;15;15,93;36;62;8,41;33,52;38;5;14,97;25
Tue;11;04;2017;08:15;397,64;11;83,27;23;21;7;14,63;16,48;35;62;7,95;33,38;38;6;14,93;24
Tue;11;04;2017;08:30;403,91;11;84,69;25;20;6;14,63;17,34;36;61;8,68;33,62;40;6;14,96;25
Tue;11;04;2017;08:45;408,63;11;86,24;24;21;7;14,63;15,95;36;61;8,58;34,25;43;6;14,98;25
Tue;11;04;2017;09:00;417,24;12;88,81;25;21;7;14,63;20,44;37;62;8,11;33,26;40;6;15,01;27
Tue;11;04;2017;09:15;435,07;12;90,62;25;23;6;18,75;22,94;36;60;8,04;46,09;38;6;14,62;28
Tue;11;04;2017;09:30;452,44;12;94,44;25;29;7;18,75;22,37;37;61;8,49;45,8;41;7;14,6;29
Tue;11;04;2017;09:45;445,34;16;94,64;29;29;6;7,5;22,6;37;61;7,6;41,4;42;7;14,61;30
Tue;11;04;2017;10:00;446,26;11;94,06;26;26;7;16,5;26,21;38;60;8,1;41,75;42;6;14,66;29
Tue;11;04;2017;10:15;447,99;13;94,16;25;26;8;14,5;25,75;37;63;7,59;40,37;42;6;14,62;31
Tue;11;04;2017;10:30;467,03;15;93,89;26;26;7;23;26,43;37;65;7,99;45,08;43;7;14,63;30
Tue;11;04;2017;10:45;462,16;16;94,39;27;25;7;15;29,41;38;64;7,83;44,79;42;7;14,75;30
Tue;11;04;2017;11:00;463,67;17;94,43;27;26;8;15;29,15;38;64;7,7;43,66;43;6;14,73;30
Tue;11;04;2017;11:15;461,57;18;94,2;26;25;7;15;29,32;37;66;8,3;41,9;42;7;14,86;30
Tue;11;04;2017;11:30;467,93;15;94,61;31;26;7;15;29,6;38;62;8,19;46,74;43;6;14,8;31
Tue;11;04;2017;11:45;473,74;16;95,31;33;25;8;15;30,14;37;64;7,74;47,66;43;7;14,9;30
Tue;11;04;2017;12:00;470,25;17;95,19;29;26;7;15;30,57;38;61;8,36;46,83;43;7;16,31;30
Tue;11;04;2017;12:15;465,19;18;93,05;29;25;7;15;30,26;38;60;8,24;47,21;42;6;15,43;31
Tue;11;04;2017;12:30;464,78;17;93,54;27;26;8;15;30,22;37;61;7,86;47,19;43;7;14,97;30
Tue;11;04;2017;12:45;474,83;17;92,21;27;25;7;15;30,71;38;62;8,66;46,94;43;6;26,31;30
Tue;11;04;2017;13:00;470,34;17;92,75;27;25;6;15;30,36;38;61;8,64;47,54;43;7;22,06;30
Tue;11;04;2017;13:15;472,83;18;94,7;27;26;8;12;30,45;38;61;8,57;46,86;43;6;22,26;31
Tue;11;04;2017;13:30;472,92;17;99,82;27;25;7;12;30,75;37;61;8,06;47,42;43;8;18,87;31
Tue;11;04;2017;13:45;476,48;16;95,16;29;26;7;12;30,93;38;62;7,86;46,86;43;8;23,68;31
Tue;11;04;2017;14:00;476,29;18;94,07;30;25;7;15;30,7;37;60;8,63;46,86;43;8;23,01;30
Tue;11;04;2017;14:15;482,92;17;93,99;28;26;7;16;30,8;39;61;8,86;48,54;44;8;23,73;31
Tue;11;04;2017;14:30;494,47;17;94,8;30;27;7;15;31,05;37;65;8,32;53,57;46;7;25,74;30
Tue;11;04;2017;14:45;497,98;21;97,68;28;28;7;14;31,3;39;65;8,77;51,05;45;8;24,18;30
Tue;11;04;2017;15:00;491,41;19;101,39;29;28;6;14;30,96;38;62;8,66;48,04;46;7;24,37;29
Tue;11;04;2017;15:15;488,09;21;93,93;26;26;8;17;30,9;39;60;8,34;49,28;45;8;25,65;30
Tue;11;04;2017;15:30;482,61;19;94,35;27;27;7;15;31;38;61;8,42;47,75;46;8;24,09;29
Tue;11;04;2017;15:45;488,01;21;95,08;25;27;7;14;31,48;39;61;8,76;49,32;46;8;25,37;30
Tue;11;04;2017;16:00;487,12;20;96,24;26;26;7;15,5;30,82;37;63;7,99;49,14;45;8;25,43;30
Tue;11;04;2017;16:15;501,83;18;100,7;30;27;8;15,5;31,04;38;65;8,04;52,98;45;8;24,58;30
Tue;11;04;2017;16:30;490,5;20;96,08;26;27;7;15,5;31,12;37;65;7,96;48,94;45;8;26,91;29
Tue;11;04;2017;16:45;486,01;20;93,88;26;26;7;15,5;31,23;38;63;8,13;48,27;45;7;27;30
Tue;11;04;2017;17:00;483,28;17;94,02;30;27;8;12;31,22;38;62;7,91;48,95;45;8;24,19;30
Tue;11;04;2017;17:15;481,81;19;92,16;25;28;7;15;31,07;38;61;8,98;48,05;45;8;25,54;30
Tue;11;04;2017;17:30;486,79;19;91,52;26;27;9;16;31,06;37;61;8,72;49,5;45;9;27,99;29
Tue;11;04;2017;17:45;481,39;16;90,96;30;26;7;14;31,02;37;61;8,82;50,13;45;8;26,46;30
Tue;11;04;2017;18:00;477,87;19;92,64;25;26;7;14;30,12;37;62;8,39;46,44;44;7;29,29;30
Tue;11;04;2017;18:15;500,69;19;96,32;26;26;7;24;29,62;38;65;8,54;46,66;45;8;31,54;30
Tue;11;04;2017;18:30;468,78;18;90,21;28;26;7;6;26,76;37;64;8,67;47,06;43;8;30,07;29
Tue;11;04;2017;18:45;461,8;19;89,88;25;26;6;15,5;23,27;37;61;8,74;46,85;38;7;28,58;30
Tue;11;04;2017;19:00;462,02;16;90,1;29;25;6;15,5;22,31;37;61;8,55;45,97;39;8;28,58;30
Tue;11;04;2017;19:15;468,01;18;90,37;26;25;8;18;21,59;37;60;7,56;47,24;43;8;28,25;30
Tue;11;04;2017;19:30;462,54;18;90,06;25;26;6;18;20,86;36;61;8,22;45,11;43;8;28,29;29
Tue;11;04;2017;19:45;450,78;16;89,5;29;25;6;5;20,73;38;61;7,46;47,02;41;7;28,07;30
Tue;11;04;2017;20:00;454,21;19;88,95;25;25;7;14;21,09;36;60;7,67;46,84;37;8;29,65;29
Tue;11;04;2017;20:15;469,88;19;89,02;25;25;7;24,5;20,49;37;61;7,75;44,72;41;8;30,4;30
Tue;11;04;2017;20:30;449,83;17;90,11;27;25;7;11,17;19,73;36;61;7,4;39,5;43;8;28,92;29
Tue;11;04;2017;20:45;441,13;16;89,05;27;25;7;11,17;18,83;37;60;8,05;37,22;41;7;27,81;29
Tue;11;04;2017;21:00;435,39;16;89,23;26;24;6;11,17;20,39;37;60;7,46;34,25;38;8;27,9;30
Tue;11;04;2017;21:15;441,33;16;89,77;28;25;6;14;17,92;36;61;8,78;35,1;39;8;27,77;29
Tue;11;04;2017;21:30;455,91;14;89,4;28;24;7;24;20,91;37;61;8,06;35,71;41;8;27,83;30
Tue;11;04;2017;21:45;438,09;16;87,39;27;24;6;11,67;17,24;36;60;8,74;36,25;43;7;27,8;30
Tue;11;04;2017;22:00;442,42;15;87,48;27;25;8;11,67;19,66;37;61;8,07;35,47;40;8;29,08;30
Tue;11;04;2017;22:15;438,07;14;90,6;28;24;6;11,67;20,13;36;60;8,23;36,08;38;8;28,35;29
Tue;11;04;2017;22:30;435,05;16;90,05;27;24;6;13,5;16,49;36;60;8,35;34,2;38;8;27,48;30
Tue;11;04;2017;22:45;436,47;14;88,11;28;24;7;13,5;13,14;37;61;7,48;37,76;42;7;27,49;29
Tue;11;04;2017;23:00;436,48;15;87,93;25;25;7;15,5;16,7;36;60;8,01;32,93;43;8;26,42;30
Tue;11;04;2017;23:15;416,51;14;87,96;26;24;6;14;18,58;36;61;7,46;34,58;39;8;14,94;25
Tue;11;04;2017;23:30;420,21;13;88,34;25;24;7;15;23,56;35;60;7,77;35,59;38;7;14,95;26
Tue;11;04;2017;23:45;416,93;12;88,1;25;24;6;14,75;22,87;37;59;7,87;34,4;39;7;14,94;25
Wed;12;04;2017;00:00;416,51;12;87,47;25;24;7;14,75;22,21;36;55;9;35,14;41;8;14,95;25
Wed;12;04;2017;00:15;413,37;12;88,35;24;25;7;14,75;22,61;36;53;8,11;31,63;42;8;14,92;26
Wed;12;04;2017;00:30;403,72;11;87,33;25;24;6;14,75;20,57;37;51;7,98;35,18;38;6;14,9;25
Wed;12;04;2017;00:45;402,41;12;84,76;24;24;7;12,5;23,63;36;52;8,48;34,12;38;8;14,92;23
Wed;12;04;2017;01:00;387,5;11;85,13;23;24;6;14;17,38;36;48;8,15;32,96;38;7;14,88;22
Wed;12;04;2017;01:15;412,41;12;84,26;24;24;8;23;22;36;52;7,69;33,57;41;7;14,9;23
Wed;12;04;2017;01:30;393,3;11;84,13;24;24;6;14,2;19,67;37;49;7,35;31,07;41;7;14,88;23
Wed;12;04;2017;01:45;391,2;11;84,7;23;24;6;14,2;19,51;36;51;7,98;31,9;37;8;14,92;22
Wed;12;04;2017;02:00;386,62;11;82,91;24;24;7;14,2;18,64;37;48;7,38;31,64;37;7;14,85;22
Wed;12;04;2017;02:15;389,72;11;82,23;23;25;7;14,2;19,29;36;50;7,85;31,3;38;7;14,86;23
Wed;12;04;2017;02:30;401,69;15;83,06;32,5;24;6;14,2;19,3;37;50;7,49;32,25;38;7;14,89;21
Wed;12;04;2017;02:45;393,13;15;81,22;32,5;24;6;7;17,59;36;48;8,6;31,37;42;7;14,84;22
Wed;12;04;2017;03:00;360,85;1;80,23;4;24;8;15,22;19,59;36;51;8,28;31,72;39;7;14,82;21
Wed;12;04;2017;03:15;379,79;10;80,62;22;24;6;15,22;17,41;37;47;8;31,7;37;7;14,84;22
Wed;12;04;2017;03:30;389,83;10;83,66;23;24;7;15,22;19,25;36;51;8,2;31,68;37;7;14,82;22
Wed;12;04;2017;03:45;382,58;10;84,56;22;24;6;15,22;16,86;36;48;8,42;31,67;37;7;14,85;21
Wed;12;04;2017;04:00;389,8;10;84,32;22;24;7;15,22;19,9;37;51;7,88;31,65;37;7;14,84;21
Wed;12;04;2017;04:15;384,7;10;82,27;23;24;7;15,22;16,82;36;46;8,42;31,15;40;7;14,82;23
Wed;12;04;2017;04:30;380,98;9;76,86;22;24;6;15,22;17,09;36;50;7,93;32,02;42;6;14,86;22
Wed;12;04;2017;04:45;382,61;10;84,24;22;24;7;15,22;19,79;35;46;8,34;31,22;36;7;14,81;22
Wed;12;04;2017;05:00;382,89;10;84,29;22;24;7;15,22;15,82;37;48;8,09;31,64;37;6;14,83;22
Wed;12;04;2017;05:15;361,95;9;76,24;22;20;7;7;17,44;35;48;7,49;31,96;38;7;14,83;21
Wed;12;04;2017;05:30;365,56;9;75,97;22;19;7;14;16,22;36;47;7,33;31,22;37;7;14,82;22
Wed;12;04;2017;05:45;367,76;10;76,27;23;19;6;13;19,62;36;47;7,31;31,73;37;6;14,83;21
Wed;12;04;2017;06:00;369,61;10;75,39;22;18;7;15;15,8;35;47;7,85;31,75;41;7;14,83;22
Wed;12;04;2017;06:15;382,67;10;76,56;23;21;7;23;16,37;36;47;7,75;31,2;41;7;14,78;21
Wed;12;04;2017;06:30;355,16;9;75,75;22;21;6;5;16,48;36;47;7,29;31,8;36;6;14,85;21
Wed;12;04;2017;06:45;367,03;9;75,75;22;20;7;15;15,71;35;47;8,42;31,34;37;7;14,81;22
Wed;12;04;2017;07:00;372,86;10;74,46;22;19;6;22,5;16;36;47;7,89;32,22;38;6;14,8;21
Wed;12;04;2017;07:15;361,42;9;75,1;23;19;8;6,5;16,01;36;47;8,22;32,77;37;7;14,83;22
Wed;12;04;2017;07:30;366,17;9;75,02;22;20;6;14,86;15,86;35;47;7,74;31,88;39;6;14,82;22
Wed;12;04;2017;07:45;392,24;10;76,6;22;19;7;14,86;16,75;36;63;8,16;32,93;42;6;14,93;23
Wed;12;04;2017;08:00;393,72;9;81,46;23;19;6;14,86;16,64;36;65;7,35;32,49;37;7;14,92;24
Wed;12;04;2017;08:15;390,01;9;81,35;23;20;6;14,86;16,13;36;60;7,86;32,91;37;6;14,91;25
Wed;12;04;2017;08:30;394,87;10;83,09;23;20;7;14,86;16,12;36;63;7,64;33,22;37;6;14,94;23
Wed;12;04;2017;08:45;398,98;10;87,63;23;20;7;14,86;16,3;36;60;7,54;32,68;39;7;14,97;23
Wed;12;04;2017;09:00;414,17;11;89,79;24;20;6;14,86;19,74;36;62;8,99;33,79;42;6;15,01;25
Wed;12;04;2017;09:15;408,24;11;89,58;23;20;8;13;16,99;36;61;9,41;33,28;41;7;14,98;24
Wed;12;04;2017;09:30;423,71;10;89,6;24;21;6;16;22,96;36;66;8,42;39,06;39;7;14,67;24
Wed;12;04;2017;09:45;441,4;11;90,89;24;20;7;14;24,29;41;64;7,98;50,63;40;7;14,62;25
Wed;12;04;2017;10:00;451,96;12;92,5;25;26;7;15,75;26,02;40;67;8,96;39,11;43;8;14,64;27
Wed;12;04;2017;10:15;456,08;11;93,99;25;27;7;15,75;26,66;39;65;7,93;43,1;44;9;14,65;27
Wed;12;04;2017;10:30;452,84;12;94,85;25;25;7;15,75;26,05;39;65;8,97;41,59;42;9;14,63;27
Wed;12;04;2017;10:45;461,24;14;94,3;25;25;7;15,75;26,4;39;69;7,85;49,31;38;9;14,64;27
Wed;12;04;2017;11:00;453,84;13;94,59;26;25;8;14;28,53;36;64;8,7;42,32;42;7;14,7;30
Wed;12;04;2017;11:15;461,87;15;94,93;26;25;7;15;30,46;38;68;7,64;40,12;45;6;14,72;29
Wed;12;04;2017;11:30;466,54;17;94,54;27;25;8;15;30,41;37;68;8,46;41,45;44;7;14,69;29
Wed;12;04;2017;11:45;478,29;17;94,51;26;25;9;24;30,46;37;70;8,32;42,25;45;7;14,75;28
Wed;12;04;2017;12:00;469,75;18;94,85;29;25;7;7;30,99;38;66;7,58;51,51;44;7;14,82;29
Wed;12;04;2017;12:15;463,24;17;93,63;29;25;8;16;27,94;37;64;7,58;43,21;45;6;14,89;29
Wed;12;04;2017;12:30;455,47;17;92,24;28;25;6;16;28,57;38;63;7,58;41,3;41;8;14,78;29
Wed;12;04;2017;12:45;456,09;16;92,26;29;24;8;12;31,3;38;62;7,98;41,66;44;7;14,89;28
Wed;12;04;2017;13:00;476,61;17;92,77;29;25;7;26;31,71;38;65;8,64;41,65;45;7;14,84;28
Wed;12;04;2017;13:15;455,99;15;93,17;27;25;7;4;31,44;37;65;8,46;49,13;44;7;14,79;28
Wed;12;04;2017;13:30;478,95;16;94,25;29;25;7;17,5;31,37;39;63;8,51;52,4;44;8;14,92;29
Wed;12;04;2017;13:45;470,71;16;94,86;28;24;6;17,5;31,68;42;61;7,98;46,81;45;7;14,9;28
Wed;12;04;2017;14:00;462,9;17;94,83;28;25;8;10;32,31;39;61;8,51;47,42;42;7;14,82;28
Wed;12;04;2017;14:15;482,79;17;94,57;30;26;6;17;32,07;41;63;8,14;46,48;41;7;25,54;28
Wed;12;04;2017;14:30;483,91;16;94,18;30;25;7;15;32,06;42;65;8,23;47,36;42;8;24,08;28
Wed;12;04;2017;14:45;495,58;18;94,66;28;26;7;23;32,09;40;66;8,49;47,53;45;8;22,8;29
Wed;12;04;2017;15:00;469,6;16;94,2;29;25;7;6;32,81;39;65;8,31;47,64;44;8;19,63;28
Wed;12;04;2017;15:15;490,47;17;93,3;29;26;8;15,5;32,31;41;67;8,9;49,12;45;8;22,34;28
Wed;12;04;2017;15:30;484,59;16;94,02;28;26;6;14,5;32,47;39;69;8,2;46,69;44;8;23,7;29
Wed;12;04;2017;15:45;495,66;19;95,26;28;26;8;15;32,69;39;71;9,03;48,62;44;7;24,06;29
Wed;12;04;2017;16:00;492,65;17;95,49;30;26;7;15;32,76;39;71;7,95;46,53;45;8;23,91;28
Wed;12;04;2017;16:15;485,21;16;94,8;29;26;7;15;32,58;39;67;9,03;47,7;41;8;24,1;29
Wed;12;04;2017;16:30;497,15;18;94,7;28;26;7;24,5;32,44;40;70;8,12;47,3;39;8;24,09;30
Wed;12;04;2017;16:45;476,48;16;94,82;29;25;8;5,5;32,45;38;67;8,49;47,31;43;8;23,91;30
Wed;12;04;2017;17:00;493,11;17;94,52;29;26;6;16;32,51;39;69;8,85;50,41;44;8;23,82;29
Wed;12;04;2017;17:15;484,55;16;93,42;27;25;7;23,5;33,01;39;63;7,9;47,27;42;8;23,45;29
Wed;12;04;2017;17:30;481,15;17;93,4;30;26;8;11,83;32,62;41;62;7,95;46,88;43;7;24,47;30
Wed;12;04;2017;17:45;470,24;15;92,58;27;25;7;11,83;32,43;39;61;8,84;46,73;43;8;23,82;29
Wed;12;04;2017;18:00;472,69;17;90,71;29;25;7;11,83;28,08;39;62;8,49;47,49;43;8;27,09;29
Wed;12;04;2017;18:15;467,97;16;90,6;28;25;7;15;23,62;39;62;8,32;45,79;43;8;28,64;28
Wed;12;04;2017;18:30;470,07;17;90,94;27;26;7;14;23,27;38;65;7,78;46,74;42;8;28,34;29
Wed;12;04;2017;18:45;462,47;16;90,67;29;25;7;14;22,96;37;65;7,74;41,75;42;8;28,35;28
Wed;12;04;2017;19:00;471,25;17;90,42;28;26;6;23;21,83;39;64;8,6;41,39;42;7;28,01;29
Wed;12;04;2017;19:15;436,09;17;89,43;27;25;7;7;17,72;37;62;8,25;34,69;41;8;28;27
Wed;12;04;2017;19:30;453,25;15;89,5;29;25;7;15,5;21,79;37;60;8,04;39,5;41;8;27,92;29
Wed;12;04;2017;19:45;443,88;16;87,78;27;24;6;15,5;21,41;38;62;7,6;32,99;42;8;27,61;28
Wed;12;04;2017;20:00;443,66;16;86,87;28;24;7;18;20,58;38;60;7,63;37,01;38;7;27,59;28
Wed;12;04;2017;20:15;446,07;16;86,84;27;25;7;18;21,39;37;62;8,67;36,74;38;8;27,44;27
Wed;12;04;2017;20:30;427,16;14;87,59;28;24;6;5;17,6;37;61;8,5;33,24;41;8;27,23;29
Wed;12;04;2017;20:45;442,83;14;87,4;30;24;7;14;20,16;37;60;7,58;37,45;41;8;27,24;28
Wed;12;04;2017;21:00;438,15;13;86,93;28;25;7;14,88;19,55;38;62;7,56;34,12;41;7;27,12;27
Wed;12;04;2017;21:15;436,18;15;87,19;28;24;6;14,88;18,29;37;61;7,61;34,19;39;8;27,03;29
Wed;12;04;2017;21:30;436,9;13;87,52;28;24;8;14,88;21,28;38;60;8,15;36,73;37;8;25,34;27
Wed;12;04;2017;21:45;424,1;14;86,15;27;24;6;14,88;19,6;37;61;8,8;32,88;40;7;17,8;28
Wed;12;04;2017;22:00;442,95;14;85,73;29;25;7;17,75;23;37;61;7,96;38,53;41;8;19,99;28
Wed;12;04;2017;22:15;430,52;13;85;27;24;7;17,75;23,23;38;61;8,85;32,54;42;8;15,16;28
Wed;12;04;2017;22:30;416,9;14;85,94;26;24;6;6;22,5;36;60;7,69;37,79;40;8;14,98;28
Wed;12;04;2017;22:45;421,04;12;85,99;26;24;7;16;18,79;38;58;8,91;32,34;43;8;15,01;28
Wed;12;04;2017;23:00;411,83;12;85,55;24;24;6;16;22,52;37;53;8,05;32,69;42;7;15,02;27
Wed;12;04;2017;23:15;417,1;12;86,27;24;25;7;12;19,64;38;52;8,54;39,7;43;8;14,95;27
Wed;12;04;2017;23:30;413,95;11;86,5;25;24;7;23,5;20,68;37;49;8,27;32,01;42;8;15;25
Wed;12;04;2017;23:45;388,64;11;86,32;24;24;6;4,5;20,8;37;48;7,95;31,55;40,5;8;15,02;24
Thu;13;04;2017;00:00;403,3;12;85,15;24;24;7;15;19,26;37;50;8,44;35,99;40,5;6;14,96;24
Thu;13;04;2017;00:15;391,09;11;80,72;24;24;7;14;21,47;37;47;7,59;32,35;39;7;14,96;24
Thu;13;04;2017;00:30;395,74;11;81,41;24;24;6;15;19,57;37;51;7,7;32,08;41;7;14,99;24
Thu;13;04;2017;00:45;389,82;11;82,84;23;24;7;14;20,18;37;47;8,04;31,76;39;6;14,99;24
Thu;13;04;2017;01:00;393,7;11;82,58;24;25;7;14,5;18,26;36;50;8,61;31,78;40;7;14,98;23
Thu;13;04;2017;01:15;394,6;10;81,42;24;24;6;14,5;20,66;37;49;7,56;38,51;39;7;14,95;21
Thu;13;04;2017;01:30;385,96;11;80,4;23;24;7;14;18,11;37;48;7,66;31,82;40;7;14,98;22
Thu;13;04;2017;01:45;398,6;11;79,12;24;24;7;23;20,01;37;49;8,57;34,93;38;7;14,98;21
Thu;13;04;2017;02:00;375,26;10;80,59;23;24;6;5;17,51;37;47;8,52;32,7;40;7;14,94;22
Thu;13;04;2017;02:15;387,46;11;78,72;23;24;7;16;19,97;36;49;7,85;31,93;39;7;15;22
Thu;13;04;2017;02:30;381,79;10;81;23;24;6;15;16,31;37;47;8,82;31,71;39;7;14,95;21
Thu;13;04;2017;02:45;387,13;10;79,67;23;24;8;13,5;20,46;37;49;7,63;31,91;40;7;14,95;21
Thu;13;04;2017;03:00;389,86;10;79,61;23;25;8;23;16,8;36;46;8,83;31,65;39;6;14,97;22
Thu;13;04;2017;03:15;382,09;10;80,02;23;24;5;11,83;19,62;37;49;7,9;31,76;39;7;14,95;22
Thu;13;04;2017;03:30;376,11;10;78,91;23;24;7;11,83;16,53;36;46;8,17;31,72;39;7;14,96;22
Thu;13;04;2017;03:45;374,1;10;70,85;22;24;8;11,83;19,38;37;48;8,48;31,61;39;7;14,95;22
Thu;13;04;2017;04:00;379,27;11;76,8;23;24;5;17,5;16,78;37;46;7,5;31,74;39;7;14,95;22
Thu;13;04;2017;04:15;382,02;10;76,53;23;24;8;17,5;17,93;37;48;7,47;31,65;39;6;14,94;21
Thu;13;04;2017;04:30;372,14;10;74,66;23;24;6;11,83;16,95;36;46;8,08;31,66;39;7;14,95;23
Thu;13;04;2017;04:45;378,53;10;76,32;22;24;7;11,83;19,37;37;48;8,47;31,58;39;7;14,96;22
Thu;13;04;2017;05:00;368,65;9;75,28;23;24;6;11,83;16,51;36;46;7,47;31,6;39;6;14,97;22
Thu;13;04;2017;05:15;376,25;10;76,13;22;24;7;13,5;16,61;37;48;7,48;31,56;39;7;14,96;22
Thu;13;04;2017;05:30;389,16;10;75,69;23;24;8;23;20,12;36;46;7,89;31,54;40;7;14,92;22
Thu;13;04;2017;05:45;361,56;10;75,05;22;24;5;6;15,77;37;46;8,29;31,52;39;6;14,95;21
Thu;13;04;2017;06:00;380,67;10;74,44;23;24;8;15;17,4;37;47;8,51;32,36;39;7;14,96;23
Thu;13;04;2017;06:15;374,64;10;75,29;23;25;7;14,5;16,7;36;46;7,69;31,51;39;6;14,95;22
Thu;13;04;2017;06:30;377,24;9;75,91;23;24;6;14,5;18,53;37;46;8,61;31,74;39;7;14,94;22
Thu;13;04;2017;06:45;372,75;10;74,78;23;24;7;14,5;15,98;36;46;7,91;31,64;39;6;14,95;22
Thu;13;04;2017;07:00;374,19;10;71,45;23;24;6;14,5;18,56;37;47;8,28;32,43;38;7;14,97;22
Thu;13;04;2017;07:15;369,63;9;71,25;23;24;7;14,5;15,68;36;46;8,31;32,93;39;6;14,96;22
Thu;13;04;2017;07:30;376,84;10;74,45;22;24;6;14,5;17,79;37;46;7,94;32,21;40;7;14,95;23
Thu;13;04;2017;07:45;376,45;9;71,23;23;24;8;14,5;19,93;37;47;8,74;33,08;39;6;14,96;21
Thu;13;04;2017;08:00;372,53;10;72,89;23;24;6;14,5;15,9;37;46;7,66;32,62;39;6;14,96;23
Thu;13;04;2017;08:15;376,16;10;72,11;23;25;7;14,5;18,72;37;45;8,5;33,36;39;7;14,98;21
Thu;13;04;2017;08:30;407,89;9;76,45;24;24;7;13,5;16,72;37;64;8,3;44,94;39;6;14,99;23
Thu;13;04;2017;08:45;399,52;10;77,13;23;25;6;14,5;21,79;38;61;7,52;32,57;39;7;15,03;22
Thu;13;04;2017;09:00;392,73;10;78,09;23;25;7;14,5;17,71;37;61;7,53;32,89;36;6;15,01;22
Thu;13;04;2017;09:15;401,77;10;80,16;24;26;7;16;18,63;37;62;7,83;32,13;37;6;15,02;23
Thu;13;04;2017;09:30;405,56;12;79,8;27;25;6;14,5;18,55;37;60;8,37;35,32;38;7;15,03;22
Thu;13;04;2017;09:45;419,12;12;79,64;28;25;7;24,5;19,84;38;62;8,3;32,67;39;6;15,17;22
Thu;13;04;2017;10:00;405,3;11;79,77;27;25;6;11,67;23,29;37;60;7,52;33,05;39;7;15,01;23
Thu;13;04;2017;10:15;406,26;12;79,86;26;25;8;11,67;17,83;38;61;7,53;36,54;39;6;14,84;23
Thu;13;04;2017;10:30;415,49;11;79,92;28;26;8;11,67;26,07;38;60;7,57;33,66;39;6;14,6;26
Thu;13;04;2017;10:45;428,74;12;79,82;27;25;6;18,5;30,06;38;61;8,59;33,17;39;7;14,6;29
Thu;13;04;2017;11:00;433,33;11;79,2;26;25;8;18,5;29,93;38;61;8,62;38,4;39;7;14,68;29
Thu;13;04;2017;11:15;416,61;12;77,97;27;25;6;7,5;29,89;38;63;7,74;35,9;39;6;14,6;27
Thu;13;04;2017;11:30;429,1;12;78,95;26;25;8;14,5;30,18;38;66;8,69;33,14;39;7;14,64;28
Thu;13;04;2017;11:45;433,34;13;78,8;26;25;8;16;28,62;38;64;8,2;39,99;39;6;14,72;28
Thu;13;04;2017;12:00;426,31;13;80,39;25;25;6;14;26,64;37;64;8,2;35,34;42;6;14,74;29
Thu;13;04;2017;12:15;437,85;12;77,54;26;25;7;15;27,54;38;61;8,58;46,44;43;7;14,75;29
Thu;13;04;2017;12:30;450,82;13;80,12;25;25;7;15;30,88;38;62;8,03;55,02;40;7;14,77;30
Thu;13;04;2017;12:45;442,11;12;81,02;26;25;8;15;30,34;38;61;7,88;47,19;40;6;14,68;30
Thu;13;04;2017;13:00;440,57;13;83,28;26;25;7;15;30,34;39;60;9,8;42,32;39;7;14,83;29
Thu;13;04;2017;13:15;428,34;13;85,82;24;24;7;14;30,57;37;61;10,02;33,09;39;6;14,86;29
Thu;13;04;2017;13:30;442,39;13;88,32;26;26;8;14;30,72;38;60;9,11;33,39;44;7;14,85;30
Thu;13;04;2017;13:45;446,65;12;86,59;31;25;5;14,5;30,46;39;62;8,52;37,79;43;8;14,79;29
Thu;13;04;2017;14:00;448,68;11;87,56;32;25;8;15,5;30,57;38;61;8,83;40,37;39;8;14,85;29
Thu;13;04;2017;14:15;446,53;13;86,43;33;26;6;14;31,11;38;62;8,86;35,22;40;8;14,9;30
Thu;13;04;2017;14:30;448,66;12;85,84;33;25;8;16;30,51;38;61;9,06;39,44;40;7;14,82;29
Thu;13;04;2017;14:45;455,23;11;85,77;34;25;6;22,5;30,43;38;61;8,38;41,36;40;8;14,79;29
Thu;13;04;2017;15:00;447,73;12;81,18;32;26;7;12,83;30,76;39;66;8,59;36,43;44;8;14,92;29
