WiseMetering realtime, exported on November 17, 2016 18:05, by Pedro Castanheira of Vodafone.;;;;;;;;;;;;;;;;;
From January 01, 2016 00:00 to September 30, 2016 23:59, with a rate of 15 minutes.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
weekday;day;month;year;time;EA+ IT OMCs (KWh);EA+ IT BVTP0 (KWh);EA+ IT SNT (KWh);EA+ IT FMC (KWh);EA+ IT MAT (KWh);EA+ IT FNC (KWh);EA+ IT CMB (KWh);EA+ IT PDG (KWh);EA+ IT AVR (KWh);EA+ IT FAR (KWh);EA+ IT ALF1P-1 (KWh);EA+ IT RAN (KWh);EA+ IT PTM (KWh)
Fri;29;01;2016;07:45;268,25;53,35;24,74;16,76;38,72;3,71;15,66;3,9;22,16;9,7;48,93;28,41;2,21
Fri;29;01;2016;08:00;268,48;53,4;24,76;16,78;37,89;3,72;15,68;3,9;21,83;10,77;49,12;28,44;2,21
Fri;29;01;2016;08:15;266,97;53,43;24,77;16,8;37,78;3,72;15,7;3,9;21,47;9,72;49,01;28,46;2,21
Fri;29;01;2016;08:30;266,18;53,51;24,79;16,79;37,91;3,74;15,7;3,9;21,26;9,79;48,09;28,5;2,2
Fri;29;01;2016;08:45;267,91;53,63;24,8;16,78;38,87;3,73;15,71;3,9;21,06;9,7;49;28,53;2,21
Fri;29;01;2016;09:00;267,95;53,47;24,81;16,81;38,01;3,73;15,7;3,91;20,88;10,73;49,13;28,48;2,29
Fri;29;01;2016;09:15;267,84;53,51;24,75;16,79;38,99;3,73;15,72;3,9;20,75;9,76;49,1;28,49;2,37
Fri;29;01;2016;09:30;266,03;53,66;24,83;16,81;37,93;3,75;15,74;3,91;20,61;9,76;48,16;28,51;2,36
Fri;29;01;2016;09:45;266,96;53,65;24,78;16,81;38,09;3,74;15,72;3,93;20,54;9,79;49,06;28,59;2,26
Fri;29;01;2016;10:00;268,06;53,64;24,81;16,8;38,07;3,74;15,73;3,96;20,45;10,73;49,32;28,53;2,29
Fri;29;01;2016;10:15;266,82;53,76;24,79;16,8;38,06;3,74;15,73;3,97;20,37;9,78;49;28,54;2,29
Fri;29;01;2016;10:30;268,15;53,82;24,76;16,82;39,13;3,76;15,75;3,97;20,28;9,72;49,33;28,54;2,28
Fri;29;01;2016;10:45;265,92;53,81;24,78;16,83;38,09;3,73;15,73;3,97;20,2;9,8;48,02;28,68;2,28
Fri;29;01;2016;11:00;267,89;53,84;24,81;16,8;38,08;3,75;15,74;3,98;20,12;10,75;49,16;28,59;2,28
Fri;29;01;2016;11:15;268,15;53,92;24,84;16,81;39,17;3,74;15,75;3,97;20,06;9,75;49,25;28,6;2,28
Fri;29;01;2016;11:30;267,22;53,99;24,81;16,79;38,21;3,75;15,76;3,99;20,02;9,75;49,21;28,65;2,29
Fri;29;01;2016;11:45;267,12;53,96;24,86;16,82;38,16;3,74;15,75;3,97;19,96;9,77;49,08;28,75;2,29
Fri;29;01;2016;12:00;268,35;54,03;24,9;16,86;39,18;3,75;15,75;3,97;19,92;10,81;48,17;28,72;2,29
Fri;29;01;2016;12:15;267,37;54,01;24,84;16,83;38,22;3,74;15,76;3,98;19,89;9,71;49,21;28,75;2,44
Fri;29;01;2016;12:30;267,61;54,11;24,94;16,84;38,28;3,75;15,77;3,99;19,82;9,75;49,2;28,72;2,44
Fri;29;01;2016;12:45;268,27;54,1;24,85;16,85;39,1;3,74;15,76;3,98;19,77;9,78;49,2;28,76;2,38
Fri;29;01;2016;13:00;268,02;54,16;24,88;16,84;38,14;3,75;15,75;3,98;19,74;10,69;49,15;28,68;2,26
Fri;29;01;2016;13:15;266,02;54,16;24,96;16,82;38,12;3,73;15,76;3,97;19,69;9,71;48,18;28,63;2,27
Fri;29;01;2016;13:30;267,1;54,24;24,92;16,83;38,17;3,74;15,77;3,98;19,68;9,73;49,19;28,6;2,26
Fri;29;01;2016;13:45;268,04;54,24;25;16,85;39,09;3,73;15,76;3,94;19,64;9,73;49,23;28,57;2,27
Fri;29;01;2016;14:00;267,16;54,29;24,9;16,85;38,19;3,74;15,77;3,94;19,63;9,73;49,24;28,63;2,25
Fri;29;01;2016;14:15;267,97;54,27;24,85;16,86;38,25;3,73;15,77;3,93;19,62;10,73;49,14;28,6;2,22
Fri;29;01;2016;14:30;268,31;54,41;24,98;16,86;40,26;3,75;15,78;3,93;19,59;9,73;48,2;28,62;2,22
Fri;29;01;2016;14:45;266,12;54,33;24,95;16,84;37,14;3,74;15,77;3,92;19,56;9,76;49,27;28,61;2,23
Fri;29;01;2016;15:00;267,13;54,47;24,96;16,81;38,16;3,75;15,76;3,93;19,54;9,78;49,14;28,63;2,22
Fri;29;01;2016;15:15;268,18;54,4;24,95;16,79;38,31;3,74;15,76;3,93;19,5;10,76;49,21;28,59;2,24
Fri;29;01;2016;15:30;268,07;54,35;24,94;16,8;39,11;3,76;15,76;3,97;19,49;9,66;49,28;28,72;2,24
Fri;29;01;2016;15:45;266,07;54,44;24,98;16,81;38,26;3,75;15,76;3,97;19,46;9,71;48,05;28,65;2,23
Fri;29;01;2016;16:00;268,16;54,4;24,96;16,85;38,23;3,76;15,75;3,97;19,46;10,75;49,22;28,58;2,23
Fri;29;01;2016;16:15;268,09;54,44;24,95;16,85;39,21;3,75;15,75;3,96;19,42;9,7;49,22;28,59;2,24
Fri;29;01;2016;16:30;267,19;54,46;24,9;16,86;38,2;3,76;15,75;3,97;19,42;9,75;49,25;28,63;2,24
Fri;29;01;2016;16:45;267,2;54,46;25;16,85;38,21;3,74;15,76;3,97;19,41;9,69;49,23;28,65;2,24
Fri;29;01;2016;17:00;269,17;54,39;24,95;16,84;39,22;3,75;15,74;3,98;19,39;10,73;49,19;28,74;2,25
Fri;29;01;2016;17:15;266,2;54,42;24,88;16,82;38,26;3,73;15,75;3,95;19,39;9,72;48,34;28,7;2,25
Fri;29;01;2016;17:30;266,98;54,32;24,96;16,83;38,25;3,74;15,77;3,93;19,39;9,7;49,12;28,74;2,24
Fri;29;01;2016;17:45;267;54,33;24,84;16,86;38,28;3,73;15,75;3,93;19,37;9,69;49,26;28,65;2,33
Fri;29;01;2016;18:00;268,89;54,32;24,88;16,87;39,2;3,74;15,76;3,92;19,36;10,7;49,22;28,65;2,28
Fri;29;01;2016;18:15;266,86;54,19;24,89;16,88;38,35;3,72;15,76;3,91;19,35;9,67;49,22;28,66;2,26
Fri;29;01;2016;18:30;238,26;25,74;24,87;16,86;38,18;3,74;15,76;3,91;19,34;9,7;49,25;28,65;2,27
Fri;29;01;2016;18:45;295,15;82,66;24,88;16,85;39,27;3,73;15,75;3,91;19,35;9,66;48,12;28,72;2,26
Fri;29;01;2016;19:00;267,91;54,23;24,83;16,85;38,23;3,74;15,75;3,91;19,33;10,71;49,29;28,78;2,26
Fri;29;01;2016;19:15;266,48;54,16;24,83;16,85;38,17;3,73;15,73;3,91;19,32;9,66;49,15;28,73;2,25
Fri;29;01;2016;19:30;266,61;54,13;24,82;16,84;38,25;3,73;15,75;3,91;19,32;9,65;49,22;28,74;2,26
Fri;29;01;2016;19:45;267,41;54,16;24,87;16,83;40,19;3,73;15,71;3,9;19,29;9,66;48,08;28,74;2,27
Fri;29;01;2016;20:00;265,57;54,13;24,83;16,83;37,24;3,73;15,74;3,91;19,32;9,67;49,18;28,74;2,25
Fri;29;01;2016;20:15;267,18;54,06;24,79;16,83;38,1;3,72;15,74;3,9;19,27;10,66;49,13;28,72;2,26
Fri;29;01;2016;20:30;267,28;54,04;24,78;16,83;39,17;3,73;15,74;3,91;19,29;9,69;49,17;28,69;2,27
Fri;29;01;2016;20:45;266,29;54,07;24,81;16,82;38,17;3,72;15,74;3,9;19,27;9,66;49,22;28,65;2,26
Fri;29;01;2016;21:00;265,17;54;24,79;16,84;38,24;3,73;15,73;3,91;19,26;9,64;48,1;28,68;2,26
Fri;29;01;2016;21:15;266,13;54,01;24,79;16,82;38,17;3,72;15,72;3,9;19,29;9,66;49,1;28,69;2,26
Fri;29;01;2016;21:30;268,1;53,95;24,79;16,81;39,16;3,74;15,74;3,91;19,26;10,65;49,24;28,64;2,23
Fri;29;01;2016;21:45;265,95;53,97;24,76;16,81;38,15;3,73;15,71;3,9;19,26;9,7;49,08;28,66;2,23
Fri;29;01;2016;22:00;265,04;53,96;24,77;16,83;38,1;3,74;15,75;3,91;19,26;9,66;48,19;28,67;2,23
Fri;29;01;2016;22:15;268,47;53,86;24,75;16,82;39,03;3,74;15,72;3,9;19,28;9,65;49,04;30,44;2,23
Fri;29;01;2016;22:30;268,22;53,8;24,76;16,83;38,16;3,73;15,72;3,91;19,23;10,67;50,59;28,61;2,21
Fri;29;01;2016;22:45;265,84;53,88;24,76;16,82;38,07;3,72;15,72;3,9;19,24;9,66;49,14;28,71;2,21
Fri;29;01;2016;23:00;265,66;53,79;24,73;16,77;38,06;3,75;15,72;3,91;19,24;9,66;49,11;28,72;2,21
Fri;29;01;2016;23:15;266,65;53,81;24,73;16,76;39,08;3,73;15,73;3,92;19,25;9,67;49,05;28,71;2,22
Fri;29;01;2016;23:30;264,58;53,79;24,75;16,76;38,08;3,72;15,72;3,92;19,22;9,68;48,09;28,65;2,21
Fri;29;01;2016;23:45;266,49;53,71;24,73;16,79;38,12;3,73;15,72;3,9;19,23;10,65;49,03;28,68;2,21
Sat;30;01;2016;00:00;266,56;53,77;24,72;16,78;39,1;3,73;15,73;3,91;19,21;9,65;49,08;28,68;2,21
Sat;30;01;2016;00:15;265,41;53,69;24,74;16,78;38,04;3,71;15,71;3,9;19,21;9,72;49,04;28,68;2,21
Sat;30;01;2016;00:30;264,17;53,65;24,74;16,74;38,01;3,72;15,73;3,91;19,2;9,62;48,02;28,63;2,2
Sat;30;01;2016;00:45;265,18;53,59;24,74;16,73;37,99;3,71;15,7;3,9;19,19;9,68;49,04;28,7;2,21
Sat;30;01;2016;01:00;267,48;53,65;24,74;16,71;39,22;3,72;15,7;3,91;19,19;10,66;49,04;28,73;2,21
Sat;30;01;2016;01:15;263,71;53,52;24,69;16,72;37,77;3,7;15,69;3,9;19,16;9,67;47,99;28,67;2,21
Sat;30;01;2016;01:30;264,98;53,53;24,73;16,7;37,95;3,72;15,7;3,9;19,16;9,67;49,01;28,71;2,2
Sat;30;01;2016;01:45;265,77;53,47;24,74;16,71;38,98;3,7;15,69;3,9;19,18;9,65;48,85;28,67;2,21
Sat;30;01;2016;02:00;263,85;53,52;24,7;16,71;37,87;3,71;15,71;3,91;19,14;9,66;48,03;28,69;2,21
Sat;30;01;2016;02:15;265,97;53,43;24,78;16,71;38,1;3,7;15,68;3,89;19,15;10,66;48,98;28,7;2,2
Sat;30;01;2016;02:30;265,54;53,46;24,63;16,71;38,72;3,72;15,69;3,9;19,13;9,69;48,98;28,69;2,21
Sat;30;01;2016;02:45;264,71;53,43;24,76;16,72;37,83;3,7;15,7;3,9;19,14;9,68;49,03;28,61;2,2
Sat;30;01;2016;03:00;263,66;53,49;24,63;16,69;37,91;3,71;15,67;3,9;19,12;9,67;48,04;28,61;2,21
Sat;30;01;2016;03:15;265,86;53,42;24,74;16,68;37,98;3,7;15,69;3,9;19,12;10,68;49,12;28,65;2,2
Sat;30;01;2016;03:30;265,41;53,42;24,68;16,69;38,78;3,71;15,68;3,91;19,11;9,68;48,94;28,61;2,2
Sat;30;01;2016;03:45;263,65;53,4;24,72;16,7;37,85;3,7;15,68;3,9;19,1;9,67;48,1;28,63;2,21
Sat;30;01;2016;04:00;264,74;53,51;24,7;16,69;37,78;3,71;15,69;3,91;19,14;9,67;49,14;28,6;2,2
Sat;30;01;2016;04:15;265,29;53,44;24,67;16,67;38,78;3,7;15,68;3,89;19,09;9,68;48,94;28,54;2,21
Sat;30;01;2016;04:30;265,53;53,38;24,73;16,67;37,87;3,71;15,69;3,9;19,08;10,67;49,04;28,59;2,2
Sat;30;01;2016;04:45;263,29;53,33;24,67;16,69;37,78;3,7;15,67;3,9;19,08;9,69;48,02;28,57;2,21
Sat;30;01;2016;05:00;264,5;53,46;24,79;16,69;37,74;3,71;15,67;3,9;19,08;9,68;49,02;28,56;2,2
Sat;30;01;2016;05:15;265,39;53,43;24,68;16,7;38,78;3,7;15,68;3,9;19,05;9,69;49,01;28,56;2,21
Sat;30;01;2016;05:30;264,23;53,3;24,67;16,67;37,8;3,71;15,68;3,9;19,07;9,68;49;28,55;2,2
Sat;30;01;2016;05:45;264,46;53,48;24,73;16,68;37,72;3,7;15,68;3,89;19,07;10,7;48,06;28,55;2,2
Sat;30;01;2016;06:00;265,47;53,42;24,72;16,7;38,8;3,72;15,69;3,91;19,05;9,72;48,99;28,55;2,21
Sat;30;01;2016;06:15;265,52;53,44;24,75;16,69;38,92;3,7;15,68;3,9;19,07;9,65;49;28,53;2,21
Sat;30;01;2016;06:30;262,27;53,45;24,73;16,69;36,59;3,71;15,69;3,9;19,04;9,69;48,01;28,56;2,2
Sat;30;01;2016;06:45;265,33;53,37;24,72;16,67;38,83;3,7;15,68;3,9;19,05;9,66;49,03;28,5;2,2
Sat;30;01;2016;07:00;265,44;53,44;24,71;16,67;37,78;3,72;15,67;3,9;19,07;10,68;49,05;28,55;2,2
Sat;30;01;2016;07:15;264,48;53,43;24,72;16,68;37,8;3,7;15,68;3,9;19,09;9,7;49,05;28,54;2,2
Sat;30;01;2016;07:30;263,43;53,43;24,73;16,7;37,79;3,72;15,67;3,9;19,05;9,73;47,95;28,57;2,2
Sat;30;01;2016;07:45;265,6;53,49;24,72;16,69;38,85;3,71;15,69;3,9;19,08;9,64;49,12;28,52;2,21
Sat;30;01;2016;08:00;265,2;53,59;24,74;16,71;37,85;3,71;15,68;3,91;19,07;10,2;49;28,55;2,2
Sat;30;01;2016;08:15;265,13;53,52;24,76;16,7;37,77;3,7;15,68;3,89;19,08;10,2;49,03;28,6;2,2
Sat;30;01;2016;08:30;264,78;53,51;24,77;16,71;38,84;3,72;15,69;3,91;19,09;9,7;48,06;28,58;2,21
Sat;30;01;2016;08:45;264,83;53,56;24,71;16,71;37,87;3,71;15,69;3,9;19,11;9,7;49,09;28,59;2,2
Sat;30;01;2016;09:00;264,97;53,54;24,74;16,71;37,98;3,72;15,69;3,9;19,11;9,69;49,06;28,63;2,21
Sat;30;01;2016;09:15;266;53,58;24,73;16,72;37,84;3,72;15,7;3,9;19,11;10,71;49,16;28,65;2,2
Sat;30;01;2016;09:30;265,1;53,6;24,72;16,72;38,97;3,72;15,69;3,91;19,11;9,69;48,11;28,66;2,2
Sat;30;01;2016;09:45;265,2;53,64;24,74;16,74;37,98;3,71;15,71;3,9;19,12;9,69;49,1;28,67;2,2
Sat;30;01;2016;10:00;265,29;53,52;24,81;16,74;37,94;3,73;15,7;3,9;19,14;9,75;49,19;28,67;2,2
Sat;30;01;2016;10:15;266,29;53,66;24,62;16,77;39,02;3,73;15,7;3,9;19,14;9,65;49,22;28,68;2,21
Sat;30;01;2016;10:30;265,54;53,57;24,82;16,75;38,04;3,73;15,71;3,9;19,14;10,72;48,1;28,72;2,34
Sat;30;01;2016;10:45;265,48;53,67;24,67;16,75;38,08;3,72;15,72;3,9;19,15;9,69;49,15;28,71;2,29
Sat;30;01;2016;11:00;265,6;53,66;24,77;16,75;37,99;3,74;15,71;3,91;19,17;9,71;49,25;28,74;2,2
Sat;30;01;2016;11:15;266,69;53,76;24,72;16,76;39,14;3,73;15,71;3,9;19,18;9,67;49,18;28,75;2,21
Sat;30;01;2016;11:30;266,8;53,73;24,75;16,76;39,21;3,74;15,71;3,91;19,21;9,69;49,21;28,68;2,21
Sat;30;01;2016;11:45;265,58;53,72;24,8;16,76;37,03;3,73;15,71;3,9;19,16;10,7;49,21;28,67;2,2
Sat;30;01;2016;12:00;265,54;53,73;24,73;16,77;39,13;3,73;15,72;3,91;19,16;9,7;48,07;28,69;2,21
Sat;30;01;2016;12:15;265,9;53,77;24,77;16,77;38,23;3,72;15,73;3,9;19,17;9,67;49,28;28,7;2,21
Sat;30;01;2016;12:30;265,84;53,87;24,83;16,75;38,09;3,72;15,72;3,9;19,18;9,69;49,21;28,67;2,21
Sat;30;01;2016;12:45;265,94;53,83;24,81;16,76;38,22;3,72;15,71;3,9;19,21;9,72;49,18;28,67;2,21
Sat;30;01;2016;13:00;267,96;53,88;24,8;16,77;39,11;3,74;15,73;3,91;19,17;10,66;49,32;28,67;2,21
Sat;30;01;2016;13:15;265,05;53,92;24,86;16,76;38,17;3,72;15,73;3,9;19,17;9,69;48,21;28,72;2,21
Sat;30;01;2016;13:30;265,92;53,92;24,84;16,76;38,11;3,73;15,73;3,91;19,19;9,67;49,23;28,63;2,21
Sat;30;01;2016;13:45;266,96;53,91;24,87;16,78;39,17;3,72;15,72;3,9;19,23;9,68;49,1;28,67;2,21
Sat;30;01;2016;14:00;267,03;53,91;24,84;16,79;38,23;3,72;15,73;3,91;19,16;10,68;49,2;28,66;2,22
Sat;30;01;2016;14:15;266,28;54,03;24,9;16,8;38,22;3,72;15,72;3,9;19,21;9,7;49,18;28,7;2,21
Sat;30;01;2016;14:30;266,48;54;24,81;16,79;39,34;3,73;15,73;3,91;19,22;9,68;48,34;28,73;2,21
Sat;30;01;2016;14:45;266,08;54,03;24,86;16,8;38,1;3,73;15,72;3,9;19,21;9,67;49,1;28,74;2,22
Sat;30;01;2016;15:00;266,1;54,02;24,82;16,8;38,08;3,72;15,72;3,91;19,18;9,67;49,24;28,74;2,2
Sat;30;01;2016;15:15;267,41;54,06;24,86;16,8;38,22;3,72;15,74;3,9;19,19;10,73;49,2;28,78;2,22
Sat;30;01;2016;15:30;267,22;54,04;24,9;16,8;39,11;3,73;15,73;3,91;19,23;9,63;49,21;28,74;2,21
Sat;30;01;2016;15:45;265,36;54,09;24,9;16,79;38,19;3,72;15,73;3,9;19,18;9,69;48,2;28,77;2,21
Sat;30;01;2016;16:00;266,2;54,04;24,81;16,78;38,13;3,72;15,71;3,9;19,21;9,71;49,2;28,77;2,21
Sat;30;01;2016;16:15;267,37;54,05;24,83;16,79;39,21;3,72;15,73;3,9;19,22;9,68;49,29;28,75;2,21
Sat;30;01;2016;16:30;267,3;54,04;24,85;16,78;38,2;3,73;15,72;3,91;19,2;10,66;49,26;28,75;2,21
Sat;30;01;2016;16:45;267,28;54,05;24,91;16,78;39,16;3,71;15,72;3,9;19,19;9,69;49,19;28,77;2,21
Sat;30;01;2016;17:00;264,16;54,05;24,79;16,78;37,07;3,73;15,71;3,91;19,22;9,74;48,18;28,78;2,21
Sat;30;01;2016;17:15;267,26;54,06;24,84;16,77;39,15;3,71;15,74;3,91;19,23;9,62;49,24;28,79;2,21
Sat;30;01;2016;17:30;266,26;54,11;24,85;16,76;38,15;3,72;15,72;3,91;19,18;9,69;49,16;28,8;2,21
Sat;30;01;2016;17:45;267,32;54,05;24,87;16,8;38,19;3,72;15,72;3,9;19,22;10,74;49,23;28,69;2,2
Sat;30;01;2016;18:00;267,42;54,1;24,84;16,82;39,19;3,73;15,74;3,91;19,23;9,66;49,27;28,73;2,21
Sat;30;01;2016;18:15;265,32;54,05;24,81;16,8;38,2;3,72;15,72;3,91;19,21;9,69;48,26;28,72;2,22
Sat;30;01;2016;18:30;266,26;54,1;24,86;16,8;38,1;3,74;15,72;3,9;19,2;9,71;49,24;28,7;2,2
Sat;30;01;2016;18:45;267,17;54,09;24,79;16,77;38,17;3,72;15,72;3,91;19,17;10,69;49,23;28,7;2,22
Sat;30;01;2016;19:00;267,44;54,05;24,82;16,79;39,19;3,74;15,72;3,91;19,18;9,7;49,38;28,75;2,21
Sat;30;01;2016;19:15;237,76;25,66;24,81;16,8;38,2;3,72;15,72;3,9;19,21;9,7;49,13;28,69;2,21
Sat;30;01;2016;19:30;293,66;82,42;24,83;16,81;38,2;3,73;15,74;3,91;19,21;9,68;48,21;28,72;2,21
Sat;30;01;2016;19:45;267,32;54,06;24,8;16,79;39,09;3,73;15,72;3,9;19,2;9,73;49,3;28,81;2,21
Sat;30;01;2016;20:00;267,33;54,03;24,84;16,76;38,26;3,74;15,73;3,91;19,2;10,67;49,19;28,8;2,21
Sat;30;01;2016;20:15;266,15;54,04;24,83;16,78;38,08;3,73;15,72;3,9;19,22;9,7;49,22;28,73;2,21
Sat;30;01;2016;20:30;267,27;54,03;24,77;16,8;39,18;3,74;15,73;3,91;19,2;9,73;49,28;28,72;2,21
Sat;30;01;2016;20:45;266,1;54,02;24,78;16,8;38,14;3,73;15,71;3,9;19,2;9,66;49,24;28,71;2,21
Sat;30;01;2016;21:00;265,28;54,04;24,81;16,79;38,24;3,73;15,73;3,9;19,2;9,72;48,23;28,69;2,21
Sat;30;01;2016;21:15;267,33;54,04;24,79;16,81;38,15;3,73;15,72;3,9;19,21;10,7;49,29;28,78;2,21
Sat;30;01;2016;21:30;267,16;54,07;24,81;16,8;39,12;3,75;15,73;3,91;19,15;9,72;49,17;28,74;2,21
Sat;30;01;2016;21:45;266,26;54,05;24,84;16,79;38,23;3,73;15,72;3,9;19,17;9,66;49,26;28,71;2,2
Sat;30;01;2016;22:00;267,38;54,01;24,76;16,79;39,34;3,74;15,72;3,91;19,18;9,7;49,29;28,74;2,21
Sat;30;01;2016;22:15;264,97;53,99;24,79;16,79;38;3,73;15,72;3,9;19,19;9,74;48,15;28,76;2,21
Sat;30;01;2016;22:30;267,16;54,03;24,79;16,79;38,17;3,75;15,73;3,91;19,2;10,66;49,23;28,7;2,21
Sat;30;01;2016;22:45;266,01;53,96;24,78;16,79;38,09;3,72;15,72;3,9;19,18;9,71;49,24;28,72;2,21
Sat;30;01;2016;23:00;266,01;53,99;24,77;16,78;38,15;3,73;15,72;3,91;19,17;9,72;49,15;28,72;2,21
Sat;30;01;2016;23:15;265,95;53,92;24,76;16,79;39,17;3,72;15,73;3,91;19,17;9,66;48,17;28,73;2,21
Sat;30;01;2016;23:30;266,96;53,98;24,77;16,79;38,04;3,74;15,72;3,91;19,18;10,72;49,21;28,7;2,2
Sat;30;01;2016;23:45;265,9;53,94;24,76;16,77;38,15;3,74;15,72;3,9;19,15;9,7;49,19;28,68;2,22
Sun;31;01;2016;00:00;266,9;53,94;24,78;16,76;39,09;3,74;15,71;3,91;19,18;9,72;49,18;28,69;2,21
Sun;31;01;2016;00:15;265,71;54,04;24,76;16,76;38,01;3,72;15,71;3,9;19,17;9,64;49,15;28,64;2,22
Sun;31;01;2016;00:30;255,47;53,68;24,78;16,74;38,05;3,74;15,72;3,91;19,18;0,68;48,18;28,62;2,2
Sun;31;01;2016;00:45;256,06;53,86;24,78;16,76;38,05;3,73;15,71;3,9;19,15;0,09;49,13;28,68;2,21
Sun;31;01;2016;01:00;257;53,84;24,75;16,77;39,06;3,73;15,7;3,91;19,16;0,08;49,14;28,64;2,22
Sun;31;01;2016;01:15;255,67;53,81;24,72;16,73;37,98;3,71;15,7;3,9;19,15;0,08;49,09;28,6;2,21
Sun;31;01;2016;01:30;254,78;53,78;24,75;16,72;38;3,73;15,71;3,91;19,13;0,07;48,17;28,61;2,21
Sun;31;01;2016;01:45;256,59;53,83;24,74;16,72;38,95;3,72;15,69;3,9;19,12;0,08;49,04;28,6;2,21
Sun;31;01;2016;02:00;255,73;53,81;24,77;16,76;38,01;3,72;15,69;3,91;19,13;0,08;49,09;28,57;2,2
Sun;31;01;2016;02:15;255,16;53,84;24,73;16,77;37,98;3,71;15,69;3,9;19,12;0,07;48,59;28,57;2,21
Sun;31;01;2016;02:30;255,13;53,79;24,77;16,74;37,95;3,71;15,7;3,9;19,14;0,09;48,58;28,55;2,21
Sun;31;01;2016;02:45;263,43;53,81;24,75;16,71;38,93;3,71;15,68;3,9;19,1;6,89;49,11;28,63;2,21
Sun;31;01;2016;03:00;265,01;53,77;24,68;16,71;37,96;3,72;15,7;3,9;19,1;9,69;49,05;28,53;2,2
Sun;31;01;2016;03:15;266,59;53,83;24,7;16,71;38,99;3,71;15,68;3,9;19,09;10,19;49,07;28,51;2,21
Sun;31;01;2016;03:30;264,44;53,76;24,75;16,72;37,8;3,73;15,68;3,9;19,1;10,19;48,09;28,53;2,21
Sun;31;01;2016;03:45;265,01;53,79;24,78;16,73;37,88;3,71;15,68;3,9;19,08;9,73;49,04;28,48;2,21
Sun;31;01;2016;04:00;264,89;53,78;24,68;16,73;37,87;3,72;15,7;3,9;19,08;9,69;49,06;28,49;2,21
Sun;31;01;2016;04:15;265,75;53,71;24,7;16,71;37,82;3,7;15,68;3,9;19,07;10,7;49,08;28,47;2,2
Sun;31;01;2016;04:30;264,77;53,7;24,73;16,74;38,81;3,71;15,68;3,9;19,06;9,7;48,08;28,46;2,21
Sun;31;01;2016;04:45;264,82;53,78;24,7;16,7;37,88;3,7;15,67;3,89;19,07;9,72;48,95;28,54;2,21
Sun;31;01;2016;05:00;264,72;53,74;24,68;16,73;37,88;3,72;15,69;3,9;19,07;9,66;48,98;28,47;2,2
Sun;31;01;2016;05:15;265,92;53,71;24,76;16,73;38,88;3,7;15,67;3,9;19,06;9,71;49,16;28,45;2,2
Sun;31;01;2016;05:30;264,63;53,7;24,73;16,72;37,8;3,72;15,67;3,9;19,05;10,7;47,94;28,49;2,21
Sun;31;01;2016;05:45;264,77;53,75;24,7;16,69;37,87;3,7;15,69;3,89;19,06;9,71;49;28,5;2,2
Sun;31;01;2016;06:00;264,61;53,71;24,7;16,69;37,79;3,71;15,67;3,91;19,05;9,71;48,98;28,47;2,22
Sun;31;01;2016;06:15;265,84;53,69;24,74;16,71;38,9;3,7;15,67;3,9;19,04;9,73;49,12;28,44;2,2
Sun;31;01;2016;06:30;263,52;53,69;24,64;16,7;37,82;3,72;15,67;3,9;19,05;9,7;47,93;28,51;2,21
Sun;31;01;2016;06:45;265,39;53,76;24,74;16,7;37,96;3,71;15,69;3,9;19,05;10,2;49,06;28,44;2,2
Sun;31;01;2016;07:00;266,11;53,69;24,73;16,74;38,77;3,71;15,67;3,9;19,01;10,2;49,03;28,46;2,21
Sun;31;01;2016;07:15;263,64;53,69;24,75;16,72;37,76;3,7;15,68;3,9;19,05;9,72;47,98;28,49;2,21
Sun;31;01;2016;07:30;264,67;53,67;24,73;16,72;37,83;3,72;15,69;3,9;19,06;9,7;49;28,46;2,21
Sun;31;01;2016;07:45;264,79;53,74;24,69;16,72;37,82;3,7;15,69;3,9;19,08;9,74;49,07;28,44;2,21
Sun;31;01;2016;08:00;266,78;53,77;24,74;16,73;38,83;3,71;15,69;3,9;19,08;10,68;48,99;28,45;2,21
Sun;31;01;2016;08:15;263,82;53,79;24,72;16,72;37,82;3,7;15,69;3,89;19,08;9,71;48,01;28,48;2,21
Sun;31;01;2016;08:30;265,97;53,75;24,72;16,73;38,91;3,71;15,69;3,9;19,1;9,71;49,04;28,49;2,22
Sun;31;01;2016;08:45;265,24;53,85;24,84;16,74;37,9;3,7;15,69;3,9;19,09;9,72;49,1;28,52;2,2
Sun;31;01;2016;09:00;265,08;53,83;24,7;16,75;37,87;3,72;15,7;3,9;19,12;9,7;49,02;28,57;2,21
Sun;31;01;2016;09:15;265,37;53,86;24,66;16,76;38,08;3,71;15,7;3,9;19,1;10,72;48,12;28,56;2,21
Sun;31;01;2016;09:30;265,48;53,85;24,79;16,76;38,03;3,72;15,72;3,91;19,13;9,71;49,1;28,56;2,2
Sun;31;01;2016;09:45;266,57;53,89;24,74;16,78;39,11;3,71;15,72;3,89;19,14;9,71;49,07;28,61;2,2
Sun;31;01;2016;10:00;265,73;53,98;24,8;16,77;38,11;3,73;15,71;3,91;19,15;9,7;49,05;28,61;2,2
Sun;31;01;2016;10:15;265,73;53,97;24,82;16,78;38;3,71;15,71;3,9;19,15;10,76;48,14;28,58;2,21
Sun;31;01;2016;10:30;266,85;54,03;24,79;16,78;39,14;3,72;15,71;3,91;19,15;9,66;49,14;28,61;2,2
