Vodafone - Realtime Data;;;;;;;;;;;;;;;;;
Generated by: Tobias Conde;;;;;;;;;;;;;;;;;
At: January 31, 2018 11:09 (Europe/Lisbon);;;;;;;;;;;;;;;;;
From: January 01, 2017 00:00, To: December 31, 2017 23:59;;;;;;;;;;;;;;;;;
Rate: 15 minutes;;;;;;;;;;;;;;;;;
Exported by WiseMetering;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
weekday;day;month;year;time;EA+ AVAC OMCs Report (KWh);EA+ AVAC IT PDG (KWh);EA+ AVAC IT SNT (KWh);EA+ AVAC CMB (KWh);EA+ AVAC IT ALF1P-1 (KWh);EA+ AVAC FNC (KWh);EA+ AVAC IT FAR (KWh);EA+ AVAC IT BVTP0 (KWh);EA+ AVAC FMC (KWh);EA+ AVAC IT PTM (KWh);EA+ AVAC IT RAN (KWh);EA+ AVAC IT MAT (KWh);EA+ AVAC IT AVR (KWh)
Sat;29;04;2017;06:45;71,04;3;3,57;2,23;27,74;3,7;3,16;9,07;1,27;1,94;1,1;11,23;3,03
Sat;29;04;2017;07:00;73,72;1,29;4,82;2,23;30,2;4,11;4,12;8,19;1,29;1,94;0,8;11,21;3,52
Sat;29;04;2017;07:15;71,99;3,08;3,43;2,28;27,61;3,82;3,52;9,36;1,29;1,94;1;11,21;3,46
Sat;29;04;2017;07:30;72,42;1,4;6,91;2,22;27,79;2,91;4,25;8,97;1,27;1,94;1,1;10,55;3,13
Sat;29;04;2017;07:45;80,43;3,34;3,41;2,19;30,39;4,06;4,13;9,96;1,29;1,94;1,1;13,87;4,75
Sat;29;04;2017;08:00;83,53;0,96;3,46;2,16;28,75;2,92;4,22;8,57;1,35;1,94;1;25,17;3,03
Sat;29;04;2017;08:15;87,24;3,18;4,16;2,27;27,44;3,5;3,43;10,81;1,32;1,95;1,1;25,06;3,03
Sat;29;04;2017;08:30;92,75;1,53;3,66;2,44;30,87;2,91;4,14;10,64;1,34;1,96;1,3;25,06;6,9
Sat;29;04;2017;08:45;93,72;2,45;7,63;2,41;30,17;3,43;3,9;10,15;2,2;1,96;1,2;25,1;3,12
Sat;29;04;2017;09:00;88,51;2,49;4,14;2,66;26,37;2,87;4,28;11,36;1,63;1,96;1,4;25,11;4,24
Sat;29;04;2017;09:15;105,86;2,4;15,35;2,7;31,07;3,66;4,12;12,7;2,3;1,96;1,4;25,09;3,13
Sat;29;04;2017;09:30;106,72;1,96;11,97;3,1;33,4;4,15;4,12;12,52;2,07;1,96;1,6;24,98;4,91
Sat;29;04;2017;09:45;100,11;2,61;12;2,97;26,32;3,81;4,12;12,77;2,07;1,79;1,6;25,07;4,98
Sat;29;04;2017;10:00;103,44;2,07;12,06;3,23;28,49;3,46;4,12;14,18;3,06;2;2,1;24,99;3,68
Sat;29;04;2017;10:15;108,74;2,68;12,53;3,42;31,27;3,64;4,12;13,45;3,07;1,96;2,5;25,08;5,02
Sat;29;04;2017;10:30;109,45;1,89;12,79;3,42;31,78;3,56;4,12;13,62;2,09;1,97;2,7;25,14;6,37
Sat;29;04;2017;10:45;105,89;2,17;12,92;3,42;27,02;3,61;4,12;14,3;2,77;1,96;2,8;25,1;5,71
Sat;29;04;2017;11:00;113,8;2,53;15,12;3,41;30,22;3,4;4,12;15,6;4,7;1,96;3;25,14;4,62
Sat;29;04;2017;11:15;115,71;2,69;13,18;3,41;32,08;2,92;4,12;13,73;8,52;1,95;3,3;25,29;4,52
Sat;29;04;2017;11:30;113,4;1,65;14,18;3,42;29,49;3,39;4,12;14,93;7,84;1,9;3,5;25,06;3,93
Sat;29;04;2017;11:45;123,28;3,28;14,98;11,57;28,45;2,97;3,47;15,15;8,41;2,03;3,6;25,16;4,23
Sat;29;04;2017;12:00;123,78;1,31;13,57;11,27;30,42;3,39;5,54;17,22;6,25;1,96;3,6;25,13;4,13
Sat;29;04;2017;12:15;128,38;3,33;15,73;10,03;31,65;4,31;5,54;14,5;8,1;2,02;4;25,15;4,03
Sat;29;04;2017;12:30;123,18;1,17;14,8;8,08;28,27;3,51;1,44;22,19;8,51;2,01;4;25,17;4,03
Sat;29;04;2017;12:45;132,58;3,14;14,8;8,09;31,84;4;4,45;22,3;8,48;2,22;3,9;25,22;4,13
Sat;29;04;2017;13:00;130,81;2,2;14,83;8,1;34,04;3,52;4,45;23,16;4,86;1,95;4,3;25,27;4,12
Sat;29;04;2017;13:15;131,13;2,18;14,83;8,85;30,65;3,88;4,45;23,79;6,18;2,14;4,5;25,37;4,32
Sat;29;04;2017;13:30;131,81;2,25;16,29;10,09;30,23;3,96;4,45;21,82;5,92;2,76;4,6;25,42;4,02
Sat;29;04;2017;13:45;135,65;2,93;18,27;8,13;31,23;3,49;4,45;23,58;6,03;3,17;4,7;25,45;4,22
Sat;29;04;2017;14:00;139,65;1,04;21,85;8,12;32,69;3,57;4,45;23,98;6,61;3,16;4,6;25,37;4,22
Sat;29;04;2017;14:15;139,34;2,55;18,45;8,13;31,1;3,73;4,45;25,84;7,7;3,16;4,6;25,42;4,22
Sat;29;04;2017;14:30;136,1;2,1;16,3;8,14;32,38;3,7;3,56;23,57;9,09;3,16;4,6;25,48;4,03
Sat;29;04;2017;14:45;135,51;2,88;15,28;8,14;32,08;3,65;3,56;23,52;9;3,17;4,5;25,51;4,23
Sat;29;04;2017;15:00;142,26;1,89;21,08;8,14;33,65;3,46;3,56;24,47;8,58;3,16;4,5;25,45;4,33
Sat;29;04;2017;15:15;142,96;2,99;21,93;8,16;30,59;3,74;3,87;26,48;8,64;3,16;3,8;25,49;4,13
Sat;29;04;2017;15:30;141,06;1,56;15,8;8,16;30,43;2,94;3,99;30,36;8,9;3,16;6,1;25,44;4,23
Sat;29;04;2017;15:45;148,76;3,03;18,67;8,15;32,64;3,41;3,87;29,37;8,78;3,17;7,2;26,15;4,33
Sat;29;04;2017;16:00;145,45;1,77;18,72;8,14;32,62;3,4;4,42;26,2;8,55;3,16;4,8;29,55;4,13
Sat;29;04;2017;16:15;144,45;2,72;21,6;8,12;30,14;2,95;5,26;26,63;8,31;3,15;4,5;26,96;4,13
Sat;29;04;2017;16:30;145,03;2,13;20,36;8,13;30,68;3,2;5,26;29,65;8,79;3,16;4,1;25,35;4,23
Sat;29;04;2017;16:45;140,03;2,03;16,01;8,11;33,09;3,47;2,15;29,93;8,55;3,15;4;25,32;4,23
Sat;29;04;2017;17:00;137,56;2,75;16,33;8,1;30,8;4,56;4,13;25,76;8,05;3,14;4,4;25,31;4,22
Sat;29;04;2017;17:15;141,81;1,97;20,02;8,1;30,4;3,64;4,13;27,31;8,76;3,15;4,8;25,31;4,22
Sat;29;04;2017;17:30;144,15;2,97;20,76;8,09;30,24;3,66;4,13;29,11;8,41;3,15;4,2;25,31;4,13
Sat;29;04;2017;17:45;140,13;1,66;17,12;8,07;31,23;3,9;4,13;29,53;7,68;3,15;5,8;23,43;4,43
Sat;29;04;2017;18:00;129,52;3,15;16,06;8,07;31,41;3,4;4,13;26,88;4,2;3,15;7,8;17,15;4,13
Sat;29;04;2017;18:15;126,57;1,69;16,2;8,07;29,81;4,12;4,08;27,56;4,21;3,15;6,6;16,86;4,22
Sat;29;04;2017;18:30;130,78;2,93;17,6;8,09;31,57;3,42;4,08;26,89;4,21;3,15;8,7;15,91;4,24
Sat;29;04;2017;18:45;129,31;2,01;5;8,08;30,99;3,45;4,08;29,14;4,14;3,15;8,1;14,79;16,37
Sat;29;04;2017;19:00;114,68;2,24;10,92;7,42;29,74;3,8;4,08;23,98;4,15;3,14;6,3;14,07;4,83
Sat;29;04;2017;19:15;106,91;2,6;10,53;7,59;31,15;3,27;4,08;18,09;4,15;3,14;4,5;13,76;4,03
Sat;29;04;2017;19:30;104,27;1,89;10,45;7,58;29,89;3,11;4,08;17,66;4,15;3,13;4,2;14,2;3,93
Sat;29;04;2017;19:45;99,55;2,92;8,98;2,6;30,66;2,97;4,08;18,05;4,15;3,13;3,8;14,18;4,03
Sat;29;04;2017;20:00;102,04;1,85;11,26;2,34;32,1;3,93;4,08;18,36;4,16;3,13;3,8;13,3;3,73
Sat;29;04;2017;20:15;102,86;2,54;10,13;2,24;31,19;3,95;4,08;20,68;4,15;3,13;3,7;13,24;3,83
Sat;29;04;2017;20:30;91,39;2,35;4,69;2,44;29,71;4,03;4,08;15,98;4,15;3,12;3,8;13,21;3,83
Sat;29;04;2017;20:45;96,22;1,94;10,89;4,46;31,61;2,98;4;12,73;4,15;3,11;3,7;13,12;3,53
Sat;29;04;2017;21:00;92,49;2,95;5,62;3,65;30,97;4,23;3,93;13,37;4,15;3,12;3,6;13,18;3,73
Sat;29;04;2017;21:15;95,39;1,59;9,52;3,14;29,29;5,97;4,11;13,97;4,15;3,12;3,4;13,22;3,93
Sat;29;04;2017;21:30;89,47;2,93;5,06;3;29,81;3,97;4,11;13,06;4,15;3,11;3,4;13,24;3,63
Sat;29;04;2017;21:45;90,6;1,96;4,46;2,9;33,21;3,13;4,11;13,58;4,15;3,12;3;13,25;3,73
Sat;29;04;2017;22:00;91,58;2,28;9,34;3,3;29,54;2,86;4,11;12,96;4,15;3,11;3,1;13,21;3,62
Sat;29;04;2017;22:15;87,16;2,46;4,21;2,98;29,14;3,69;4,11;13,17;4,15;3,12;3,1;13,23;3,82
Sat;29;04;2017;22:30;92,64;1,8;7,81;3,23;31,08;4,03;4,11;13,16;4,15;3,12;3,2;13,23;3,72
Sat;29;04;2017;22:45;88,59;3,05;3,67;3,16;30,72;3,57;4,11;13,06;4,15;3,13;3;13,27;3,72
Sat;29;04;2017;23:00;91,62;1,7;8,25;3,03;29,96;4,64;4,11;13,07;4,15;2,65;3,2;13,24;3,62
Sat;29;04;2017;23:15;87,2;2,57;3,53;3,29;30,34;3,22;4,11;13,24;4,16;2,93;3;13,29;3,52
Sat;29;04;2017;23:30;91,62;2,25;7,44;3,01;31,81;3,16;4,11;13,32;4,15;2,58;2,9;13,27;3,63
Sat;29;04;2017;23:45;87;1,83;3,87;3;29,82;4,66;3,71;12,87;4,15;3,02;3;13,33;3,73
Sun;30;04;2017;00:00;91,57;2,96;6,13;3,04;30,8;3,98;5,24;13,06;4,15;2,62;2,9;13,16;3,52
Sun;30;04;2017;00:15;87,53;1,83;5,31;3,05;30,63;4,2;5,24;12,91;4,16;2,69;2,8;11,29;3,43
Sun;30;04;2017;00:30;86,06;2,67;6,71;3;30,31;3,26;2,38;13,21;3,53;2,57;2,5;12,37;3,53
Sun;30;04;2017;00:45;87,45;2,18;4,44;3,02;31,26;3,08;5,17;13,19;3,35;2,72;2,2;13,33;3,53
Sun;30;04;2017;01:00;85,66;1,84;3,86;3,02;30,52;3,07;5,17;12,32;4,16;2,88;2;13,28;3,53
Sun;30;04;2017;01:15;83,78;3,12;7,89;2,91;30,19;3,08;1,86;11,44;2,75;2,03;1,8;13,27;3,43
Sun;30;04;2017;01:30;80,74;1,73;3,67;3,05;32,95;3,08;3,93;9,15;4,09;2,72;1,6;11,24;3,53
Sun;30;04;2017;01:45;79,26;2,49;4,15;3,06;29,98;3,08;3,93;10,51;3,47;2,62;1,5;11,25;3,23
Sun;30;04;2017;02:00;80,99;2,3;6,12;3,07;29,16;3,07;3,93;10,37;3,2;1,96;1,5;12,88;3,43
Sun;30;04;2017;02:15;82,57;1,7;4,86;2,94;31,14;3,96;3,93;9,19;3,92;2,9;1,5;13,21;3,33
Sun;30;04;2017;02:30;80,94;2,76;4,32;3,12;30,65;3,96;3,93;9,4;2,63;2,35;1,4;13,19;3,23
Sun;30;04;2017;02:45;81,15;3,36;3,5;3;29,57;4;3,87;10,31;3,42;2,22;1,5;13,18;3,23
Sun;30;04;2017;03:00;81,25;2,18;7,92;3,34;28,2;4,65;3,94;9,46;3,38;2,14;1,4;11,43;3,23
Sun;30;04;2017;03:15;82,26;1,96;3,64;3,35;31,97;3,76;4,01;10,8;3,87;2,57;1,5;11,42;3,43
Sun;30;04;2017;03:30;83,6;2,97;5,18;2,96;31,26;4,65;4,01;9,07;3,65;2,05;1,5;13,16;3,13
Sun;30;04;2017;03:45;83,41;2,51;6,41;3,33;29,33;3,26;4,01;10,67;3,43;2,42;1,5;13,22;3,33
Sun;30;04;2017;04:00;79,69;2,16;4,18;2,87;29,86;3,29;4,01;9,28;3,96;1,95;1,7;13,2;3,23
Sun;30;04;2017;04:15;88,33;2,35;7,49;3,29;32,21;4,68;4,01;10,52;3,51;1,95;1,6;13,19;3,53
Sun;30;04;2017;04:30;80,76;1,78;3,94;3,04;30,27;4,04;4,01;9,19;3,99;2,09;1,6;13,17;3,63
Sun;30;04;2017;04:45;83,04;3,33;6,46;2,85;28,55;4,24;4,01;9,74;3,42;2,47;1,5;13,17;3,33
Sun;30;04;2017;05:00;79,14;1,44;5,06;2,65;30;3,16;4,01;8,93;4,13;1,91;1,4;13,13;3,33
Sun;30;04;2017;05:15;84,37;2,58;6,84;2,76;30,03;3,08;4,01;11,36;3,55;2,4;1,4;13,15;3,23
Sun;30;04;2017;05:30;81,26;2,15;4,84;2,51;30,72;3,08;4,01;10,35;3,81;1,95;1,5;13,12;3,23
Sun;30;04;2017;05:45;83,25;2,75;5,04;2,66;29,89;3,08;5,24;10,51;3,92;1,95;1,5;13,28;3,43
Sun;30;04;2017;06:00;86,93;1,62;8,29;2,69;30,81;3,07;5,24;11,76;3,39;1,95;1,6;13,27;3,23
Sun;30;04;2017;06:15;82,39;3,35;4,37;2,77;30,66;3,07;3,64;10,32;4,14;1,96;1,7;13,2;3,23
Sun;30;04;2017;06:30;80,61;1,59;4,88;2,7;30,45;3,28;3,64;10,13;3,55;2,26;1,5;13,12;3,53
Sun;30;04;2017;06:45;83,77;2,47;8,42;2,88;28,99;4,47;3,64;9,3;3,5;2,23;1,5;13,15;3,23
Sun;30;04;2017;07:00;79,28;2,71;4,04;2,74;29,55;3,56;2,79;9,79;4,21;1,91;1,4;13,15;3,43
Sun;30;04;2017;07:15;80,52;1,49;6,29;2,57;30,54;4,64;4,2;7,66;3,48;1,91;1,3;13,13;3,33
Sun;30;04;2017;07:30;80,67;3,34;5,26;2,54;30,5;4,39;4,16;8,1;3,95;2,33;1,2;11,58;3,33
Sun;30;04;2017;07:45;79,44;0,98;6,88;3,03;29,74;3,97;4,03;8,93;3,9;1,95;1,2;11,42;3,43
Sun;30;04;2017;08:00;80,17;3,29;3,72;2,71;31,97;4,41;3,93;8,7;3,44;1,95;1,2;11,52;3,33
Sun;30;04;2017;08:15;79,21;2,05;7,49;2,59;29,49;3,13;4,15;8,8;3,98;1,95;1,2;11,17;3,23
Sun;30;04;2017;08:30;78,1;2,3;3,4;2,89;29,55;3,39;3,95;11,17;3,8;1,95;1,3;11,18;3,22
Sun;30;04;2017;08:45;78,15;2,81;3,83;2,74;29,74;4,65;3,92;8,74;3,43;1,95;1,4;11,62;3,32
Sun;30;04;2017;09:00;80,66;1,54;5,2;2,76;30,61;3,79;4,08;10,92;3,98;1,94;1,3;11,21;3,32
Sun;30;04;2017;09:15;81,02;3,31;3,45;2,87;30,98;4,54;5,31;9,17;3,74;1,94;1,3;11,2;3,22
Sun;30;04;2017;09:30;81,89;1,03;7,11;2,9;28,48;3,54;5,31;11,91;3,43;1,94;1,5;11,21;3,52
Sun;30;04;2017;09:45;79,11;3,32;3,66;2,84;29,78;3,12;2,04;11,89;4,15;1,95;1,7;11,23;3,42
Sun;30;04;2017;10:00;85,27;1,79;5,44;3,08;30,43;4,37;5,26;11,86;3,49;1,95;1,7;12,48;3,43
Sun;30;04;2017;10:15;92,86;3,17;8,04;2,96;33,44;4,28;5,26;11,83;3,58;1,94;1,7;13,13;3,52
Sun;30;04;2017;10:30;81,91;1,2;4,64;3,3;29,65;4,03;1,69;11,78;4,16;2,42;1,7;13,72;3,62
Sun;30;04;2017;10:45;87,3;3,32;6,12;3,36;29,74;3,39;4,29;11,83;3,4;1,91;1,7;14,63;3,62
Sun;30;04;2017;11:00;89,27;1,69;7,66;3,17;30,77;3,04;5,19;11,72;3,78;1,91;2;14,63;3,72
Sun;30;04;2017;11:15;88,29;3,33;5,14;3,44;30,05;3,04;5,19;11,82;3,9;2,48;2,3;13,88;3,72
Sun;30;04;2017;11:30;94,59;2,25;7,82;3,43;31,22;3,03;2,31;13,85;4,02;1,94;1,9;19,09;3,73
Sun;30;04;2017;11:45;102,32;1,61;5,49;3,43;30,37;3,04;3,6;12,84;3,73;1,94;2,2;30,34;3,73
Sun;30;04;2017;12:00;102,49;2,74;6,31;3,42;30,52;3,03;4,07;14,69;4,07;2,07;2,4;25,25;3,92
Sun;30;04;2017;12:15;105,76;2,95;6,91;3,42;31,71;3,03;5,6;14,42;3,66;2,42;2,5;25,31;3,82
Sun;30;04;2017;12:30;102,99;1,98;7,01;3,42;30,54;4,11;5,6;12,51;4,11;1,91;2,6;25,3;3,93
Sun;30;04;2017;12:45;103,97;2,57;7,51;4,53;31,3;3,93;3,48;13,39;3,58;2,49;2,1;25,28;3,83
Sun;30;04;2017;13:00;107,58;1,99;6,24;11,09;30,63;4,06;3,48;13,03;4,23;1,94;1,6;25,27;4,03
Sun;30;04;2017;13:15;110,97;2,3;6,85;9,47;30,22;4,62;3,48;15,59;4,81;2,64;1,9;25,16;3,93
Sun;30;04;2017;13:30;113,87;2,58;10,64;7,96;30,58;3,22;3,35;15,65;6,39;2,09;2,4;25,1;3,93
Sun;30;04;2017;13:45;111,15;2,92;6;7,15;31,86;4,63;4,32;16,05;4,39;2,24;2,3;25,28;4,03
Sun;30;04;2017;14:00;117,58;1,78;10,61;7,25;33,63;4,04;4,32;18,66;3,59;2,19;2,4;25,29;3,83
Sun;30;04;2017;14:15;112,29;1,76;8,89;7,23;29,2;4,31;4,32;17,98;4,28;2,33;2,7;25,28;4,02
Sun;30;04;2017;14:30;110,63;2,9;7,25;7,23;29,64;3,81;4,32;17,83;3,57;2,45;2,4;25,22;4,02
Sun;30;04;2017;14:45;116,53;1,85;11,34;7,23;32,72;3,12;4,32;18,61;3,64;1,97;2,5;25,2;4,02
Sun;30;04;2017;15:00;117,74;3,02;11,26;7,24;30,98;4,14;4,32;17,59;4,23;2,63;2,6;25,32;4,43
Sun;30;04;2017;15:15;115,78;2,01;11,1;7,23;30,11;4,48;4,32;18,01;3,48;2,86;2,8;25,26;4,12
Sun;30;04;2017;15:30;113,3;2,6;8,95;7,23;29,76;3,8;4,32;18,37;3,78;2,1;3;25,27;4,12
Sun;30;04;2017;15:45;114,78;2,39;10,01;7,25;33,82;3,9;4,32;16,87;4,07;2,69;2,5;22,74;4,22
Sun;30;04;2017;16:00;103,86;2,29;10,8;7,24;30,5;3,05;4,32;16,84;3,48;2,23;1,9;16,97;4,23
Sun;30;04;2017;16:15;102,22;2,82;10,71;7,21;29,37;3,05;4,32;15,96;3,99;3,05;1,3;16,2;4,23
Sun;30;04;2017;16:30;99,83;2,15;10,75;7,12;30,22;3,05;4,32;15,89;3,92;1,94;1,5;14,75;4,23
Sun;30;04;2017;16:45;99,22;2,26;10,75;7,05;30,99;3,05;1,66;16,36;3,5;3;1,6;14,77;4,22
Sun;30;04;2017;17:00;101,43;2,47;10,75;7;30,48;3,05;4,18;16,5;4,16;2,56;1,6;14,76;3,93
Sun;30;04;2017;17:15;102,68;2,74;10,73;6,93;31,36;3,57;4,29;16,46;3,62;3,11;1,5;14,74;3,63
Sun;30;04;2017;17:30;99,89;1,9;10,72;6,85;30,16;4,21;4,29;15,66;3,67;2,19;1,5;14,8;3,93
Sun;30;04;2017;17:45;101,83;2,66;10,68;6,81;30,88;3,8;4,29;15,75;3,55;3,15;1,5;14,75;4,03
Sun;30;04;2017;18:00;99,95;2,2;10,72;6,73;31,25;4,64;4,29;15,89;3,14;2,24;1,5;13,61;3,73
Sun;30;04;2017;18:15;95,36;2,29;10,64;6,64;30,85;4,2;4,29;11,22;3,09;2,63;1,2;14,08;4,22
Sun;30;04;2017;18:30;94,85;2,8;10,12;6,59;30,53;4,16;3,27;13,23;3,06;2,67;1,3;13,28;3,82
Sun;30;04;2017;18:45;91,9;1,85;10,44;3,84;30,16;4,35;4,15;13,08;2,54;2,85;1,4;13,21;4,02
Sun;30;04;2017;19:00;86,62;2,75;6,89;2,22;29,99;3,12;4,15;13,18;2,6;2,98;1,4;13,29;4,02
Sun;30;04;2017;19:15;90,45;2,47;10,61;2,32;30,4;3,76;4,15;12,14;2,85;3,12;1,4;13,31;3,93
Sun;30;04;2017;19:30;85,33;2;6,67;2,28;30,57;3,58;4,15;12,36;2,86;2,4;1,3;13,34;3,83
Sun;30;04;2017;19:45;89,54;2,81;9,41;2,95;30,03;3,83;4,15;12,19;2,86;2,96;1,4;13,33;3,63
Sun;30;04;2017;20:00;90,54;1,84;5,71;5,09;33,37;4,64;4,07;11,88;2,84;2,83;1,4;13,35;3,53
Sun;30;04;2017;20:15;101,8;3,16;9,18;3,22;30,66;3,69;4,07;10,56;2,83;2,59;1,4;13,42;17,02
Sun;30;04;2017;20:30;89,29;1,52;7,07;2,87;28,68;4,3;4,07;11,49;2,83;2,63;1,3;13,37;9,15
Sun;30;04;2017;20:45;82,99;3,16;6,14;3,13;29,57;3,04;4,07;10,89;2,82;2,51;1,2;13,04;3,43
Sun;30;04;2017;21:00;84,78;1,64;5,27;2,84;33,02;3,05;4,07;11,61;2,82;3,14;1,2;12,29;3,83
Sun;30;04;2017;21:15;83,58;2,77;6,94;2,77;29,48;3,04;5,26;10,99;2,81;2,25;1,2;12,64;3,43
Sun;30;04;2017;21:30;80,43;2,04;3,95;3,23;29,56;3,04;5,26;11,51;2,56;2,95;1,3;11,49;3,53
Sun;30;04;2017;21:45;76,01;2,41;6,04;2,75;29,64;3,05;1,39;9,99;2,48;2,35;1,1;11,19;3,63
Sun;30;04;2017;22:00;82,43;2,13;6,3;2,82;31,93;4,41;4,12;10,54;2,46;2,86;1,1;10,32;3,43
Sun;30;04;2017;22:15;78,48;2,87;4,03;2,6;30,03;3,61;5,28;10,26;2,44;2,1;1,1;10,63;3,53
Sun;30;04;2017;22:30;80,42;1,84;5,92;2,61;29,33;4,47;5,28;11,06;2,45;2,68;1;10,27;3,53
Sun;30;04;2017;22:45;74,68;2,68;3,92;2,48;29,33;4,49;1,65;10,38;2,45;2,85;1,1;10,02;3,33
Sun;30;04;2017;23:00;79,53;1,98;4,51;2,45;31,44;3,91;5,55;10,51;2,44;1,96;0,9;10,56;3,33
Sun;30;04;2017;23:15;79,83;2,89;4,91;2,62;29,44;4,64;5,55;10,36;2,43;2,83;0,9;9,93;3,33
Sun;30;04;2017;23:30;73,47;1,85;5,23;2,31;30,47;3,22;1,41;10,01;2,41;2,22;0,9;9,92;3,53
Sun;30;04;2017;23:45;76,73;2,39;3,45;2,18;31,96;3,36;4,08;10,46;2,41;2,16;1,1;9,96;3,23
Mon;01;05;2017;00:00;77,11;2,33;3,43;2,16;30,9;4,67;4,08;10,66;2,42;2,49;0,8;9,94;3,22
Mon;01;05;2017;00:15;77,59;2,28;3,44;2,22;32,79;3,99;4,08;9,53;2,4;2,39;1;9,95;3,52
Mon;01;05;2017;00:30;74,21;2,15;3,43;2,14;29,45;4,3;4,08;9,83;2,4;2,4;0,9;10,01;3,13
Mon;01;05;2017;00:45;73,92;2,89;3,41;2,09;30,38;3,32;4,08;9,24;2,41;1,95;0,9;9,95;3,32
Mon;01;05;2017;01:00;76,78;1,88;3,41;2,32;31,81;5,24;3,79;9,76;2,43;2,09;0,9;9,93;3,22
Mon;01;05;2017;01:15;77,14;2,52;3,41;2,07;31;5,83;3,91;9,55;2,4;2,32;0,8;10;3,33
Mon;01;05;2017;01:30;75,6;2,04;2,91;1,98;30,64;5,2;4,34;9,58;2,4;2,29;0,9;10;3,33
Mon;01;05;2017;01:45;73,79;2,55;2,92;2,38;30,5;3,52;4,34;9,18;2,41;1,96;0,8;10,02;3,23
Mon;01;05;2017;02:00;75,17;1,96;2,95;2,17;32,18;5,41;4,34;7,73;2,4;1,96;0,9;10,04;3,13
Mon;01;05;2017;02:15;74,13;2,82;2,91;2,01;29,74;4,75;4,34;9,09;2,44;1,96;0,8;10,03;3,23
Mon;01;05;2017;02:30;69,1;1,5;2,22;2,1;30,01;3,89;4,34;6,41;2,41;1,96;0,9;10,04;3,33
Mon;01;05;2017;02:45;72,55;3,37;2,51;2,25;29,94;4,74;4,34;6,77;2,41;1,95;0,9;10,04;3,33
Mon;01;05;2017;03:00;75,52;2,7;2,76;1,88;33,86;4,52;4,34;7,12;2,41;1,95;0,8;10,04;3,13
Mon;01;05;2017;03:15;69,75;2,56;2,28;2,26;29,4;4,32;4,06;6,45;2,41;1,95;0,8;10,03;3,23
Mon;01;05;2017;03:30;69,83;3,35;2,07;1,95;28,36;4,43;4,06;7,11;2,41;1,95;0,9;10,01;3,23
Mon;01;05;2017;03:45;69,54;0,9;2,72;2,1;30,28;4,78;4,06;6,41;2,41;1,96;0,7;10;3,23
Mon;01;05;2017;04:00;76,12;3,05;2,45;2,16;34,14;4,37;4,06;7,38;2,41;1,95;0,9;10,03;3,23
Mon;01;05;2017;04:15;70,33;2,8;2;1,86;31,48;3,96;4,06;5,8;2,41;1,95;0,8;9,99;3,23
Mon;01;05;2017;04:30;72,53;1,35;2,41;2,23;32,61;4,72;4,06;6,69;2,41;1,95;0,8;9,98;3,33
Mon;01;05;2017;04:45;73,85;3,36;2,61;2,03;32,58;4,52;4,06;6,42;2,41;1,95;0,7;9,98;3,23
Mon;01;05;2017;05:00;71,44;2,14;2,01;2,03;32,59;4,08;4,06;6,16;2,41;1,95;0,8;9,99;3,23
Mon;01;05;2017;05:15;72,44;1,96;2,02;2,21;32,25;4,79;4,06;6,66;2,41;1,95;0,8;10;3,33
Mon;01;05;2017;05:30;71,27;3,36;2,38;2,08;32,74;4,49;4,06;5,8;2,41;1,96;0,7;8,27;3,03
Mon;01;05;2017;05:45;66,52;1,58;2,35;2,03;32,2;4,22;1,48;5,9;2,41;1,95;0,8;8,27;3,33
Mon;01;05;2017;06:00;70,19;2,14;2,01;2,2;31,98;4,68;4,01;6,58;2,42;1,95;0,7;8,29;3,23
Mon;01;05;2017;06:15;71,12;3,35;1,88;1,95;32,81;4,67;4,01;5,75;2,42;1,96;0,8;8,3;3,23
Mon;01;05;2017;06:30;68,7;0,9;2,31;2,23;32,51;3,83;4,01;6,43;2,42;1,95;0,7;8,29;3,13
Mon;01;05;2017;06:45;71,32;3,22;1,91;2,23;32,83;4,59;4,01;5,74;2,42;1,96;0,8;8,29;3,33
Mon;01;05;2017;07:00;71,07;3,17;1,84;2,16;32,79;4,77;4,01;5,72;2,42;1,96;0,7;8,31;3,23
Mon;01;05;2017;07:15;68,25;0,75;1,91;2,06;32,86;3,67;4,01;6,35;2,42;1,96;0,8;8,24;3,23
Mon;01;05;2017;07:30;71,26;2,86;2,59;2,23;32,3;5;4,01;5,85;2,41;1,96;0,6;8,22;3,23
Mon;01;05;2017;07:45;70,36;3,32;2,29;2,21;33,4;4,73;4,01;5,94;2,41;1,96;0,8;6,17;3,13
Mon;01;05;2017;08:00;78,12;0,76;2,22;2,07;33,08;3,67;4,01;6,4;2,45;1,95;0,8;17,28;3,43
Mon;01;05;2017;08:15;87,52;3,06;2,56;2,46;33,01;4,93;4,01;6,65;2,43;1,83;0,7;22,75;3,13
Mon;01;05;2017;08:30;88,9;2,51;2,96;2,19;32,91;4,77;3,9;6,42;2,45;1,52;0,8;25,24;3,23
Mon;01;05;2017;08:45;89,62;1,53;2,45;2,49;33,72;3,94;3,97;7,75;2,5;1,92;0,9;25,11;3,33
Mon;01;05;2017;09:00;92,25;3,34;2,44;2,35;33,16;4,5;4,2;8,64;2,57;1,92;0,9;25,02;3,23
Mon;01;05;2017;09:15;93,9;1,71;2,93;2,41;33,66;4,99;4,2;10,23;2,49;1,91;0,9;25,04;3,43
